,0,0,0,0,0
0,1分鐘捷運永安市場站限女～有窗套房,獨立套房 7坪 4F/5F,永和區-水源街39巷,距永安市場149公尺,9500
1,精美電梯大套房近捷運站~另可短租,獨立套房 6坪 2F/6F,中原里中山區-新生北路二段41巷,距行天宮站580公尺,15000
2,可貓.丹鳳站.大空間.明亮舒適一房一廳,獨立套房 15坪 5F/5F,新莊區-後港一路76巷,距丹鳳站598公尺,16888
3,全新.中山國中站.可報稅.明亮設計套房優選好屋,獨立套房 8坪 4F/5F,松山區-復興北路,距中山國中站555公尺,17888
4,"生活機能超便利,三項全包省荷包優選好屋",獨立套房 7.5坪 5F/5F,板橋區-信義路1巷,距亞東醫院站612公尺,7200
5,"English,古亭捷運,新裝潢歐風套房",獨立套房 9坪 4F/5F,中正區-同安街97巷,距古亭站476公尺,13500
6,蘆洲站.獨立陽台.明亮採光舒適設計感套房,獨立套房 8坪 5F/5F,蘆洲區-永平街,距蘆洲站670公尺,16888
7,您心目中的理想套房大坪林捷運站旁優選好屋,獨立套房 7坪 5F/5F,新店區-建國路,距大坪林站371公尺,10200
8,海山捷運站獨立套房出租,獨立套房 7坪 4F/5F,土城區-裕生路83巷38弄12號,距海山站212公尺,7000
9,新店大新街_區公所捷運_4樓優質套房優選好屋,獨立套房 9坪 4F/4F,中和區-中興街,距新店區公所站167公尺,11000
10,一樓“獨立進出”公園社區近耕莘優選好屋,獨立套房 5.5坪 1F/5F,太平洋公園新邨新店區-福園街6巷,距小碧潭站190公尺,10000
11,"土城捷運站,興城路,五榖仙帝廟優選好屋",獨立套房 10坪 4F/4F,土城區-興城路96巷,距土城站403公尺,13000
12,近江子翠捷運步行只要3分鐘.生活機能極佳,獨立套房 8坪 3F/4F,板橋區-仁化街64巷,距江子翠站326公尺,12800
13,100公尺近行天宮捷運站。公車均一段票可,獨立套房 7坪 3F/3F,松江新邨中山區-民生東路二段147巷6弄1號,距行天宮站161公尺,9000
14,捷運大坪數豪華裝潢,獨立套房 16坪 4F/5F,板橋區-文聖街,距江子翠站399公尺,18800
15,全新裝潢優質套房，三面採光！優選好屋,獨立套房 6坪 5F/5F,萬華區-和平西路三段,距龍山寺站438公尺,10000
16,捷運中和站*時尚套房獨洗曬*迪卡儂大潤發優選好屋,獨立套房 樓中樓 6坪 4F/5F,連城臻品中和區-連城路9巷,距中和站344公尺,10000
17,"近比漾,捷運永安市場站及中和站，變頻冷暖優選好屋",獨立套房 8坪 4F/5F,溫馨小窩中和區-中山路二段64巷,距中和站746公尺,9800
18,頭前庄站旁/全新整理大套房/獨立洗衣陽台優選好屋,獨立套房 10坪 2F/4F,新莊區-民樂街,距頭前庄站348公尺,15000
19,好房首選＊新埔站;散步2分。代收垃圾優選好屋,獨立套房 5坪 2F/5F,板橋區-莒光路,距新埔站236公尺,11500
20,府中站.獨立陽台.大採光設計感套房優選好屋,獨立套房 8坪 5F/5F,板橋區-縣民大道一段96巷,距府中站503公尺,15888
21,信義區獨立套房全新裝修傢俱全優選好屋,獨立套房 7坪 2F/3F,信義區-永吉路180巷,距永春站560公尺,12000
22,交通便利、生活機能便利.獨立門牌,獨立套房 樓中樓 8.5坪 3F/7F,凱旋門大廈中和區-景德街95號,距景平站88公尺,14500
23,全新設計師裝潢/Loft風~稀有釋出,獨立套房 7坪 3F/5F,內湖區-東湖路160巷,距東湖站377公尺,14000
24,全新.北投站.獨立陽台.明亮設計感套房優選好屋,獨立套房 8坪 5F/5F,北投區-豐年路一段20巷,距北投站274公尺,16888
25,景安/景平站.明亮大空間舒適微一房一廳,獨立套房 12坪 4F/5F,中和區-景新街285巷,距南勢角站319公尺,18888
26,乾淨明亮全新整理套房優選好屋,獨立套房 7坪 4F/5F,三重區-重陽路二段18巷,距菜寮站599公尺,14000
27,6星超大陽台大套房,獨立套房 18坪 7F/7F,三重區-同安街,距菜寮站571公尺,19500
28,幸福小窩：溫馨、舒適、便利、近雙捷運優選好屋,獨立套房 8坪 9F/12F,中山區-新生北路一段108號,距松江南京526公尺,15000
29,已收訂金～全新裝潢電梯大樓,獨立套房 8.4坪 4F/7F,中山區-中山北路一段105巷,距中山站493公尺,14200
30,1樓~全新超美飯店感裝潢~(近永和)優選好屋,獨立套房 5坪 1F/4F,中和區-立人街14巷,距景平站413公尺,9000
31,幸福小窩：溫馨、舒適、便利、近雙捷運優選好屋,獨立套房 8坪 9F/12F,中山區-新生北路一段108號,距松江南京526公尺,15000
32,永安捷運高質感飯店式套房！,獨立套房 8坪 3F/5F,中和區-景新街,no info,17000
33,🚅捷運迴龍站旁🔥全新套房可寵獨立陽台優選好屋,獨立套房 8坪 22F/22F,龍田金融大樓新莊區-萬壽路一段161號,距迴龍站703公尺,12500
34,新板特區F1潔靜套房,獨立套房 11.5坪 13F/24F,F1馥華時尚會館板橋區-新府路148號,距板橋站235公尺,19000
35,新板特區新埔江子翠捷運6分優選好屋,獨立套房 8坪 4F/4F,板橋區-文化路二段124巷,距新埔站256公尺,12000
36,已收訂金～全新裝潢電梯大樓,獨立套房 8.4坪 4F/7F,中山區-中山北路一段105巷,距中山站493公尺,14200
37,民安路套房刷卡式門禁限租女性優選好屋,獨立套房 6坪 6F/6F,新莊區-民安路,no info,7500
38,近亞東醫院站全新套房出租_限女性,獨立套房 6.7坪 2F/5F,板橋區-大明街20巷19弄23號,距府中站642公尺,10000
39,景平捷運站旁超懮套房,獨立套房 8坪 5F/5F,中和區-景平路278巷,距景平站287公尺,10000
40,"全新裝潢,交通便利,近三重國小捷運站",獨立套房 7坪 3F/4F,三重區-三和路三段,距三重國小站57公尺,11000
41,江子翠2號出口3分鐘,獨立套房 8坪 3F/4F,板橋區-文化路二段125巷70號,距江子翠站328公尺,9000
42,全新傢俱裝潢拎包入住湧蓮寺商圈過年優惠,獨立套房 12坪 3F/4F,蘆洲區-中山二路196巷27號,距三民高中站657公尺,13500
43,近環球購物中心『一室一廳』生活機能優渥,獨立套房 16坪 6F/6F,中和區-中山路三段,距中原站556公尺,14000
44,中山國中捷運站全新短租套房(復北民權)優選好屋,獨立套房 7坪 2F/10F,松山區-民權東路三段103巷,距中山國中站206公尺,17000
45,全新裝潢精緻套房,獨立套房 10坪 5F/5F,三重區-龍門路160號,距三重國小站351公尺,12000
46,全新高規格高視野的北歐時尚女性窩居,獨立套房 10坪 12F/14F,世界V1中和區-中山路二段332巷,距中和站242公尺,14800
47,東門捷運仁愛金山靜巷獨立套房優選好屋,獨立套房 12坪 4F/6F,仁愛精典中正區-仁愛路二段38巷,距東門站325公尺,20000
48,捷運永安市場站3分鐘電梯大樓不收管理費優選好屋,獨立套房 11坪 7F/12F,鉅星大廈永和區-中和路381號,距永安市場365公尺,17000
49,附傢俱套房裝潢新近中山國中捷運站,獨立套房 7坪 4F/5F,敦北華城松山區-復興北路231巷,距南京復興站429公尺,12000
50,三重套房捷運先嗇宮站。近家樂福、IKEA優選好屋,獨立套房 7坪 2F/2F,三重區-五谷王北街141巷,距三重站684公尺,9500
51,精心小套房～近新埔捷運走路2分鐘,獨立套房 8坪 4F/4F,板橋區-民有街3號,距環狀線新埔民生站239公尺,12800
52,景美套房廉租近捷運站適合世新學生二人合租,獨立套房 11坪 6F/6F,文山區-景文街175號,距景美站436公尺,9000
53,輔仁大學邊學生套房3分鐘到捷運,獨立套房 6坪 3F/5F,新莊區-中正路516號,距輔大站299公尺,6000
54,不用追垃圾車工業風獨立套房2間優選好屋,獨立套房 7坪 4F/10F,板橋區-三民路二段205號,距板新站701公尺,13000
55,新店首選優質套房倒數一間!,獨立套房 7坪 5F/5F,新店區-德正街27巷,距七張站412公尺,10500
56,精美電梯大套房近捷運站~另可短租,獨立套房 6坪 2F/6F,中原里中山區-新生北路二段41巷,距行天宮站580公尺,15000
57,獨立套房出租,獨立套房 12坪 2F/4F,三重區-大同北路189巷,距三重國小站650公尺,10000
58,"新屋,近台北,中山捷運,獨立套房",獨立套房 10坪 2F/2F,大同區-承德路一段67號,距中山站303公尺,18000
59,三民高中站.代收垃圾.明亮設計感套房,獨立套房 8坪 5F/5F,蘆洲區-民族路33巷,距三民高中站452公尺,12888
