,0,0,0,0,0
0,台北橋站一站到台北獨立門牌/可寵陽台套房,獨立套房 14坪 8F/27F,冠德美麗台北三重區-重新路一段,距台北橋站146公尺,20000
1,北醫通風佳地下天窗好屋+UBike,獨立套房 6坪 B1/7F,台北醫學院吳興街信義區-吳興街284巷,距麟光站504公尺,7500
2,門口UBIKE-信義北醫商圈通風佳套房,獨立套房 10坪 1F/7F,台北醫學院吳興街信義區-吳興街284巷,距麟光站504公尺,11800
3,土城裕民路台北巴黎社區溫馨獨立套房,獨立套房 8坪 4F/16F,台北巴黎土城區-裕民路259巷,距海山站702公尺,12000
4,台北公館大樓優選好屋,獨立套房 10坪 5F/11F,台北公館新店區-復興路10號,距大坪林站482公尺,15000
5,短期月租近台北車站臺大醫院旅館月租優選好屋,獨立套房 8坪 3F/11F,襄陽大樓中正區-襄陽路8號,距台大醫院站397公尺,15000
6,近台北科技大學，全新裝修整潔大方套房,獨立套房 7坪 12F/12F,XX中山區-松江路,距松江南京345公尺,11000
7,★松江市民台北市中心精華區美房★,獨立套房 5坪 2F/5F,中山區-松江路25巷,距松江南京498公尺,9880
8,近台北車站、包水電、生活便利、市場上方,獨立套房 5坪 4F/4F,中正區-重慶南路一段46巷,距台北車站站478公尺,10000
9,台北大學靜巷一樓套房+平面車位,獨立套房 7坪 1F/4F,國泰碧園芳鄰中山區-龍江路257巷,距中山國中站216公尺,20000
10,台北車站.短租.機能便利.包水電包網路,獨立套房 4坪 4F/9F,新豐大廈中正區-南陽街13號,距台北車站83公尺,15999
11,台北101對面基隆路2段144巷，捷運旁,獨立套房 3坪 2F/4F,大安區-基隆路二段144巷,距六張犁站592公尺,6900
12,台北101對面基隆路2段144巷，捷運旁,獨立套房 5坪 2F/4F,大安區-基隆路二段144巷,距六張犁站592公尺,8700
13,高網評#高品味#台北車站+西門町#月租優選好屋,獨立套房 9坪 4F/9F,博愛大樓中正區-博愛路36號,距台北車站站257公尺,19500
14,台北醫學院舒適套房學生套房,獨立套房 5坪 2F/10F,信義區-吳興街284巷,距麟光站704公尺,11500
15,近台北火車站全新精美套房出租優選好屋,獨立套房 5坪 5F/7F,中正區-延平南路21號,距北門站387公尺,11000
16,近台北車站/免爬樓梯/免追垃圾車/採光佳,獨立套房 7坪 8F/8F,中正區-南陽街,距台北車站163公尺,9500
17,近台北車站/大空間採光好/地點優/方正優選好屋,獨立套房 8坪 8F/8F,中正區-南陽街,距台北車站163公尺,14000
