,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,承億文旅花蓮山知道飯店 ,花蓮市,8.4,6179,1984
1,F Hotel花蓮忠孝館 ,花蓮市,8.3,4406,1488
2,行走光年優質民宿 ,吉安鄉,9.7,3,1431
3,百悅休閒飯店 ,花蓮市,8.2,2579,3258
4,煙波大飯店花蓮館 ,花蓮市,8.5,10847,3350
5,成旅晶贊飯店‧花蓮假期 ,花蓮市,8.6,7618,1731
6,國廣興大飯店 ,花蓮市,8.1,3640,1435
7,森林中 民宿 ,吉安鄉,9.2,446,3205
8,花蓮福康飯店 ,花蓮市,8.8,3778,2648
9,璽賓行旅 ,花蓮市,9.0,2488,2667
10,新光兆豐休閒農場 ,鳳林鎮,7.0,586,3429
11,鮪魚家族飯店花蓮館 ,花蓮市,7.5,649,1004
12,雅砌美學公寓 ,花蓮市,8.5,2942,1368
13,捷絲旅花蓮中正館 ,花蓮市,8.5,5252,2569
14,花蓮富野渡假酒店 ,花蓮市,8.0,3380,1658
15,太魯閣立閣人文旅店 ,新城鄉,9.0,1804,3792
16,多羅滿休閒商務汽車旅館 ,花蓮市,8.0,1467,1726
17,小旅行迷你公寓 ,花蓮市,9.3,4169,1057
18,非凡假期大飯店 ,花蓮市,7.9,1990,2130
19,迎星休閒會館 ,新城鄉,8.7,920,1625
20,經典假日飯店 ,花蓮市,8.4,5143,2016
21,花蓮力麗華美達安可酒店 ,花蓮市,8.2,5050,1722
22,麗翔酒店連鎖花蓮館 ,花蓮市,8.3,5227,1686
23,百事達國際飯店 ,花蓮市,7.8,5726,1645
24,麗軒國際飯店 ,花蓮市,8.2,5363,1872
25,F Hotel花蓮站前館 ,花蓮市,8.1,1685,1593
26,星空海藍大飯店 ,花蓮市,8.3,4188,1884
27,元湯溫泉居  ,瑞穗鄉,9.3,238,5086
28,花蓮統茂渡假莊園 ,吉安鄉,8.5,1103,1792
29,花蓮藍天麗池飯店 ,花蓮市,8.8,4974,1608
30,回然慢時旅居 ,花蓮市,8.7,6777,1558
31,煙波花時間 花蓮 ,新城鄉,8.0,6,3595
32,花蓮香城大飯店 ,花蓮市,8.1,2295,1524
33,悅樂旅店 ,花蓮市,8.8,590,1528
34,賴床行旅 ,花蓮市,9.0,222,3290
35,阿思瑪麗景大飯店 ,花蓮市,8.7,3054,2900
36,天璽商務飯店 ,花蓮市,8.2,3070,1119
37,客亭商旅 ,玉里鎮,8.0,1151,2416
38,迎曦閣民宿 ,秀林鄉,9.5,73,3636
39,松之風精品溫泉旅店 ,花蓮市,8.0,2059,1472
40,如果海 - 星海民宿 ,壽豐鄉,9.2,2094,2633
41,歐吧旅宿 ,花蓮市,9.5,908,1350
42,單行道民宿 ,花蓮市,9.3,355,1991
43,看見七星潭民宿 ,新城鄉,9.2,134,2508
44,910 Hostel ,玉里鎮,9.2,1025,1610
45,七星潭望海樓民宿 ,新城鄉,9.2,609,2174
46,咪荳莉生活旅店 ,花蓮市,9.3,1380,1541
47,歐遊國際連鎖精品旅館 - 花蓮館 ,吉安鄉,8.4,669,1766
48,微藍海岸夜市電梯民宿,花蓮市,8.7,1390,1368
49,太魯閣研海泊度假別墅 ,新城鄉,8.8,336,3983
50,花蓮諾丁漢海景民宿 Nottingham Seaview Inn,花蓮市,9.1,55,4571
51,維樂行旅 ,花蓮市,9.2,770,1678
52,小羊房背包客棧 ,花蓮市,9.1,2333,1357
53,原鄉商旅 ,玉里鎮,8.8,201,3152
54,OwlStay 故事所 鹽花 ,花蓮市,9.2,437,3326
55,重飛/Go Around民宿&餐廳 ,花蓮市,9.5,47,2217
56,格瀾艾微休閒民宿 ,花蓮市,8.9,769,1372
57,采盈精品汽車旅館 ,花蓮市,7.2,483,1426
58,哉煙煙民宿 ,吉安鄉,9.1,182,2589
59,花語風情民宿 ,吉安鄉,8.4,237,1039
60,撒花庄庭園民宿 ,吉安鄉,8.6,162,1905
61,玫瑰香榭飯店 ,花蓮市,8.9,98,4113
62,迴藝行旅 ,花蓮市,8.5,820,1403
63,貳館海景民宿 ,花蓮市,9.2,450,4372
64,漫慢文旅 ,花蓮市,8.1,403,1792
65,山鄰山林青年文旅 forest 3030 hostel,玉里鎮,9.6,3,1394
66,逐雲水岸民宿 ,新城鄉,9.5,284,3117
67,太魯閣會館 ,新城鄉,8.5,717,1558
68,太魯閣走過虹橋民宿 ,秀林鄉,9.2,456,2544
69,花蓮觀光糖廠 ,光復鄉,8.8,618,2701
70,洄瀾海景飯店洄瀾客棧 ,花蓮市,8.4,2033,1714
71,夏洛克Villa民宿 ,吉安鄉,9.1,684,3286
72,52旅行家民宿 ,花蓮市,9.6,571,2154
73,虎爺溫泉會館 ,瑞穗鄉,7.5,190,4158
74,靜樹湖民宿 ,壽豐鄉,9.2,24,4632
75,白浪滔滔民宿 ,壽豐鄉,8.9,522,3723
76,發現樹湖民宿 Tree Lake B&B Hualien,壽豐鄉,9.2,243,3610
77,慢點海景民宿 ,花蓮市,9.3,440,2424
78,洄瀾窩青年旅舍 ,花蓮市,8.9,5780,1106
79,福品旅店 ,花蓮市,9.1,1255,1688
80,東岡秀川溫泉會館 ,瑞穗鄉,7.3,181,3221
81,東旭觀海酒店 ,花蓮市,8.1,212,2026
82,半月灣海景民宿,豐濱鄉,8.6,148,2857
83,紐澳華文旅 ,花蓮市,8.3,96,476
84,品沐民宿  ,花蓮市,9.5,914,2522
85,花蓮峇里情人度假別墅 ,吉安鄉,8.5,524,1554
86,花蓮夢田信箱度假別墅 ,花蓮市,8.5,563,1224
87,視界民宿 ,花蓮市,9.3,1948,1711
88,品 民宿 ,花蓮市,9.5,834,1558
89,羊兒煙囪民宿 ,吉安鄉,9.3,278,3795
90,瑞穗伍壹民宿  ,瑞穗鄉,9.2,349,1299
91,有窩客棧 ,花蓮市,9.0,1986,1403
92,途中玉里青年旅舍On My Way Yuli Hostel,玉里鎮,9.6,374,785
93,指南針旅店 ,花蓮市,9.2,604,1818
94,立霧客棧旅館 ,秀林鄉,7.8,725,1341
