,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,承億文旅花蓮山知道飯店,花蓮市,8.4,6179,1984,23.9931058,121.603771
1,F Hotel花蓮忠孝館,花蓮市,8.3,4406,1488,23.9746471,121.6059117
2,行走光年優質民宿,吉安鄉,9.7,3,1431,23.9653112,121.5768033
3,百悅休閒飯店,花蓮市,8.2,2579,3258,23.9812298,121.6059265
4,煙波大飯店花蓮館,花蓮市,8.5,10847,3350,23.98674,121.6222365
5,成旅晶贊飯店‧花蓮假期,花蓮市,8.6,7618,1731,23.9752961,121.6020856
6,國廣興大飯店,花蓮市,8.1,3640,1435,23.995322,121.604351
7,森林中 民宿,吉安鄉,9.2,446,3205,23.9414078,121.5938636
8,花蓮福康飯店,花蓮市,8.8,3778,2648,23.9770769,121.6109267
9,璽賓行旅,花蓮市,9.0,2488,2667,23.9824574,121.6214267
10,新光兆豐休閒農場,鳳林鎮,7.0,586,3429,23.8035525,121.4595563
11,鮪魚家族飯店花蓮館,花蓮市,7.5,649,1004,23.979754,121.6094439
12,雅砌美學公寓,花蓮市,8.5,2942,1368,23.9950936,121.6051275
13,捷絲旅花蓮中正館,花蓮市,8.5,5252,2569,23.9747208,121.6037741
14,花蓮富野渡假酒店,花蓮市,8.0,3380,1658,23.9750614,121.5982819
15,太魯閣立閣人文旅店,新城鄉,9.0,1804,3792,24.1315597,121.6435694
16,多羅滿休閒商務汽車旅館,花蓮市,8.0,1467,1726,23.9960402,121.6041359
17,小旅行迷你公寓,花蓮市,9.3,4169,1057,23.9910256,121.602621
18,非凡假期大飯店,花蓮市,7.9,1990,2130,23.9802709,121.6073816
19,迎星休閒會館,新城鄉,8.7,920,1625,24.027079,121.631381
20,經典假日飯店,花蓮市,8.4,5143,2016,23.993204,121.60474
21,花蓮力麗華美達安可酒店,花蓮市,8.2,5050,1722,23.9747208,121.6037741
22,麗翔酒店連鎖花蓮館,花蓮市,8.3,5227,1686,23.9742815,121.6117958
23,百事達國際飯店,花蓮市,7.8,5726,1645,23.9936618,121.6045837
