,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,單人房住宿空間 - 高雄站前館 ,新興區,8.7,6059,1506
1,單人房住宿空間 - 高雄林森館 ,新興區,8.0,6504,1689
2,高雄河堤國際商旅 ,小港區,8.1,3826,2986
3,天藝商旅 ,前金區,8.7,15942,760
4,高雄國賓大飯店 ,前金區,8.7,12992,1722
5,佳適旅舍六合館 ,前金區,8.7,9868,1661
6,御宿商旅站前館 ,三民區,8.2,4930,1112
7,高雄萬豪酒店 ,鼓山區,8.9,838,4700
8,蓮潭國際會館 ,左營區,8.0,3420,2325
9,喜迎旅店 ,前金區,8.9,6335,2182
10,康橋商旅 - 衛武營館 ,苓雅區,8.1,1751,2229
11,御宿商旅 - 明華館 ,鼓山區,8.6,5770,1720
12,捷絲旅高雄站前館 ,新興區,8.8,5897,2166
13,旅聚居青年旅舍 ,新興區,9.0,2910,1171
14,捷絲旅高雄中正館 ,苓雅區,8.6,8400,1597
15,鈞怡大飯店 ,前金區,8.7,8960,2078
16,佳適旅舍-站前館 ,新興區,8.9,542,1421
17,巢鴨青年館 ,三民區,8.2,1580,799
18,翰品酒店 高雄 ,鹽埕區,8.6,5271,2123
19,華宏飯店 ,三民區,7.9,2880,1811
20,陽光大飯店 ,苓雅區,8.1,5850,1166
21,城市商旅 - 高雄駁二館 ,鹽埕區,8.4,8690,872
22,Uno青年旅舍 ,新興區,8.9,10177,1299
23,宮賞藝術大飯店 ,新興區,8.5,10259,1905
24,麗尊酒店 ,苓雅區,8.2,7242,2150
25,康橋商旅 - 後驛九如館  ,三民區,8.9,3363,1694
26,塩‧泊思行旅 ,鹽埕區,8.9,1039,1092
27,福華大飯店 ,新興區,8.5,9248,2294
28,常客商務旅館 ,三民區,7.6,786,1260
29,高雄中央公園英迪格酒店 ,新興區,9.0,2871,3305
30,七桃公寓 ,新興區,8.6,3158,640
31,城市商旅 - 高雄真愛館 ,鹽埕區,8.4,11837,1214
32,帝后大飯店 ,鹽埕區,9.0,1963,1342
33,富驛商旅高雄中華路館 ,前金區,8.4,6199,1394
34,巨蛋旅店 ,鼓山區,8.8,5272,2899
35,喜達絲飯店 ,前金區,9.0,3105,3463
36,康橋商旅 - 六合夜市中正館 ,前金區,8.8,5821,1599
37,飛行家青年旅館 ,苓雅區,9.2,3721,858
38,WO Hotel ,前金區,8.3,15447,1610
39,福容大飯店 - 高雄 ,鹽埕區,8.2,5031,2547
40,京城大飯店 ,三民區,8.1,2280,1113
