,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,單人房住宿空間 - 高雄站前館,新興區,8.7,6059,1506,22.6360676,120.3026569
1,單人房住宿空間 - 高雄林森館,新興區,8.0,6504,1689,22.6360526,120.3048341
2,高雄河堤國際商旅,小港區,8.1,3826,2986,22.5696977,120.3562905
3,天藝商旅,前金區,8.7,15942,760,22.6309369,120.2959141
4,高雄國賓大飯店,前金區,8.7,12992,1722,22.6243049,120.29063
5,佳適旅舍六合館,前金區,8.7,9868,1661,22.631299,120.2962934
6,御宿商旅站前館,三民區,8.2,4930,1112,22.6375589,120.3033136
7,高雄萬豪酒店,鼓山區,8.9,838,4700,22.6545654,120.3062881
8,蓮潭國際會館,左營區,8.0,3420,2325,22.6778521,120.2994642
9,喜迎旅店,前金區,8.9,6335,2182,22.630511,120.2948022
10,康橋商旅 - 衛武營館,苓雅區,8.1,1751,2229,22.6234512,120.3327255
11,御宿商旅 - 明華館,鼓山區,8.6,5770,1720,22.6632578,120.2992973
12,捷絲旅高雄站前館,新興區,8.8,5897,2166,22.635456,120.302551
13,旅聚居青年旅舍,新興區,9.0,2910,1171,22.631658,120.301267
14,捷絲旅高雄中正館,苓雅區,8.6,8400,1597,22.6283944,120.3319556
15,鈞怡大飯店,前金區,8.7,8960,2078,22.621998,120.29113
16,佳適旅舍-站前館,新興區,8.9,542,1421,22.635256,120.302001
17,巢鴨青年館,三民區,8.2,1580,799,22.6391111,120.3006551
18,翰品酒店 高雄,鹽埕區,8.6,5271,2123,22.6248403,120.2856279
19,華宏飯店,三民區,7.9,2880,1811,22.637475,120.3046689
20,陽光大飯店,苓雅區,8.1,5850,1166,22.614514,120.301415
21,城市商旅 - 高雄駁二館,鹽埕區,8.4,8690,872,22.6201438,120.2853433
22,Uno青年旅舍,新興區,8.9,10177,1299,22.6223414,120.3015618
23,宮賞藝術大飯店,新興區,8.5,10259,1905,22.634139,120.304761
24,麗尊酒店,苓雅區,8.2,7242,2150,22.6271834,120.3137489
25,康橋商旅 - 後驛九如館,三民區,8.9,3363,1694,22.6409961,120.3043475
26,塩‧泊思行旅,鹽埕區,8.9,1039,1092,22.6231571,120.2807562
27,福華大飯店,新興區,8.5,9248,2294,22.6339753,120.3082147
28,常客商務旅館,三民區,7.6,786,1260,22.6410439,120.3080149
29,高雄中央公園英迪格酒店,新興區,9.0,2871,3305,22.6244914,120.3014234
30,七桃公寓,新興區,8.6,3158,640,22.6313904,120.3051692
31,城市商旅 - 高雄真愛館,鹽埕區,8.4,11837,1214,22.6195963,120.2849384
32,帝后大飯店,鹽埕區,9.0,1963,1342,22.6265659,120.28469
33,富驛商旅高雄中華路館,前金區,8.4,6199,1394,22.627712,120.296321
34,巨蛋旅店,鼓山區,8.8,5272,2899,22.6650537,120.3022944
35,喜達絲飯店,前金區,9.0,3105,3463,22.6203136,120.2954788
36,康橋商旅 - 六合夜市中正館,前金區,8.8,5821,1599,22.6302815,120.2980097
37,飛行家青年旅館,苓雅區,9.2,3721,858,22.614284,120.3035409
38,WO Hotel,前金區,8.3,15447,1610,22.630971,120.2887179
39,福容大飯店 - 高雄,鹽埕區,8.2,5031,2547,22.621363,120.287711
40,京城大飯店,三民區,8.1,2280,1113,22.6414339,120.3022581
41,鴨家青年旅館,新興區,9.3,3308,1122,22.6330741,120.3034181
42,三華大飯店,新興區,8.1,3249,1186,22.6326653,120.3084326
43,康橋商旅 - 光榮碼頭館,苓雅區,9.0,2446,1618,22.6174889,120.2951584
44,和逸飯店．高雄中山館,前鎮區,8.8,2968,2400,22.6133028,120.3051133
45,帕可麗酒店,鼓山區,9.0,3348,3446,22.6646201,120.3023958
46,巴中聖淘沙旅館,鹽埕區,7.3,972,1649,22.6296194,120.285564
47,義大天悅飯店,大樹區,8.0,6742,3238,22.7307518,120.4010973
48,康橋商旅 - 城市之星漢神館,前金區,8.9,2298,1711,22.6201909,120.3004851
49,旅悅 國際青年旅館,前鎮區,8.8,2143,790,22.614619,120.307044
50,天子閣飯店,鹽埕區,7.9,48,3100,22.626114,120.282397
51,繽紛樂旅店,苓雅區,9.0,2188,957,22.612652,120.302013
52,河堤美學商旅,三民區,8.2,5391,1249,22.6420696,120.295216
53,瑞宮大飯店,三民區,7.4,1625,596,22.6373696,120.3059266
54,康橋商旅 - 覺民館,三民區,8.9,3242,1697,22.6398715,120.3362527
