,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,卓也小屋 ,三義鄉,8.5,254,2435
1,尚順君樂飯店 ,頭份鎮,8.3,3396,5127
2,禾家商旅 ,苗栗市,8.9,659,2868
3,慈夢柔民宿 ,大湖鄉,7.5,654,2229
4,天童康旅 ,頭屋鄉,8.3,691,1287
5,約克House,苗栗市,9.2,202,1524
6,夏內爾落羽松民宿 ,大湖鄉,9.4,401,3710
7,采莓行館 ,大湖鄉,9.2,567,2061
8,紅磚屋特色民宿 ,南庄鄉,8.6,160,1981
9,桐鄉民宿 ,三義鄉,9.1,604,1716
10,芝柏山商務汽車旅館  ,竹南鎮,8.0,693,2809
11,巧克力雲莊民宿 ,大湖鄉,7.8,384,3999
12,初夏汽車旅館 ,公館鄉,7.8,1302,1922
13,日出溫泉渡假飯店 ,泰安鄉,7.3,47,4300
14,後龍鎮的1臥室獨棟住宅 - 6平方公尺/1間專用衛浴 ,後龍鎮,no info,no info,1767
15,愛面子民宿 ,三義鄉,9.1,24,1732
16,竹豐旅社 ,竹南鎮,8.8,952,1039
17,南庄橄欖樹咖啡民宿 ,南庄鄉,8.7,576,3203
18,容園谷景觀渡假山莊 ,南庄鄉,8.5,210,2251
19,愛伊堡汽車旅館 ,頭份鎮,6.1,347,2307
20,里京舘咖啡民宿 ,南庄鄉,8.7,62,2078
21,"奇幻山丘 休閒屋適合單純住宿不適合聚會聊天,需匯款訂房才生效",苑裡鎮,8.8,1,1998
22,天堂鳥民宿 ,南庄鄉,9.1,427,1645
23,福田瓦舍Futen Villa,三義鄉,8.4,415,2762
24,新興旅社 ,苗栗市,8.9,663,1299
25,星原谷露營區 ,南庄鄉,9.4,39,2510
26,愛的小窩 ,苗栗市,9.9,8,1558
27,三義竺夢園民宿 ,三義鄉,8.8,571,996
28,飛牛牧場  ,通霄鎮,8.2,337,3091
29,三統大飯店  ,苗栗市,6.7,516,1848
30,頭份鎮公寓套房 - 49平方公尺/1間專用衛浴 ,頭份鎮,7.0,11,1140
31,向天湖咖啡民宿 ,南庄鄉,8.7,215,2511
32,櫻花渡假會館 ,三義鄉,8.1,870,1063
33,"無敵怡人夜景 二層樓整棟空間超大 平日2-8人優惠享整棟房源,需匯款訂房才生效",苑裡鎮,9.8,2,2727
34,慕雲想莊園饗旅 ,頭屋鄉,8.7,323,2879
35,苗栗三義幸福小築館前民宿 ,三義鄉,8.4,302,1481
36,頭份鎮獨棟住宅套房 - 31平方公尺/0間專用衛浴 ,頭份鎮,7.7,7,990
37,綠庭商務旅館 ,苗栗市,7.6,386,1299
38,尋找愛麗絲民宿 ,通霄鎮,9.2,160,2261
39,頭份鎮公寓套房 - 13平方公尺/0間專用衛浴 ,頭份鎮,7.4,17,996
40,山行寄野民宿 ,南庄鄉,9.0,238,3758
41,亞曼尼SPA精品汽車旅館 ,頭份鎮,7.1,183,1886
42,有機書店文旅 ,後龍鎮,6.0,9,1080
43,竹南橘子民宿 ,竹南鎮,9.4,290,1600
44,公館yes行旅,公館鄉,8.5,102,1870
45,頭份鎮公寓套房 - 31平方公尺/1間專用衛浴 ,頭份鎮,7.5,5,1056
46,西湖柚子家民宿,西湖鄉,8.6,90,1463
47,苗栗轉角一號棧 ,苗栗市,8.8,40,1472
48,琪海汽車旅館  ,頭份鎮,7.7,290,2895
49,如意園  ,通霄鎮,8.0,240,1299
