,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,卓也小屋,三義鄉,8.5,254,2435,24.3923541,120.7949029
1,尚順君樂飯店,頭份鎮,8.3,3396,5127,24.6881711,120.9040933
2,禾家商旅,苗栗市,8.9,659,2868,24.5637947,120.8186704
3,慈夢柔民宿,大湖鄉,7.5,654,2229,24.4277828,120.8686859
4,天童康旅,頭屋鄉,8.3,691,1287,24.585238,120.887019
5,約克House,苗栗市,9.2,202,1524,24.1819169,120.66816
6,夏內爾落羽松民宿,大湖鄉,9.4,401,3710,24.4418612,120.8735435
7,采莓行館,大湖鄉,9.2,567,2061,24.4238524,120.8679957
8,紅磚屋特色民宿,南庄鄉,8.6,160,1981,24.5855784,120.9977083
9,桐鄉民宿,三義鄉,9.1,604,1716,24.3997043,120.7619558
10,芝柏山商務汽車旅館,竹南鎮,8.0,693,2809,24.7011874,120.8807988
11,巧克力雲莊民宿,大湖鄉,7.8,384,3999,24.448598,120.8770996
12,初夏汽車旅館,公館鄉,7.8,1302,1922,24.5015841,120.8216594
13,日出溫泉渡假飯店,泰安鄉,7.3,47,4300,24.4697996,120.9714991
14,後龍鎮的1臥室獨棟住宅 - 6平方公尺1間專用衛浴,後龍鎮,no info,no info,1767,24.6324224,120.7907023
15,愛面子民宿,三義鄉,9.1,24,1732,24.4022478,120.7946179
16,竹豐旅社,竹南鎮,8.8,952,1039,24.6873783,120.8775997
17,南庄橄欖樹咖啡民宿,南庄鄉,8.7,576,3203,24.5355073,120.9654171
18,容園谷景觀渡假山莊,南庄鄉,8.5,210,2251,24.5554117,120.9854726
19,愛伊堡汽車旅館,頭份鎮,6.1,347,2307,24.6975142,120.9365116
20,里京舘咖啡民宿,南庄鄉,8.7,62,2078,24.585352,120.998332
21,"奇幻山丘 休閒屋適合單純住宿不適合聚會聊天,需匯款訂房才生效",苑裡鎮,8.8,1,1998,24.4081517,120.6846206
22,天堂鳥民宿,南庄鄉,9.1,427,1645,24.5947942,121.0008649
23,福田瓦舍Futen Villa,三義鄉,8.4,415,2762,24.374004,120.7807839
24,新興旅社,苗栗市,8.9,663,1299,24.5696861,120.8239889
25,星原谷露營區,南庄鄉,9.4,39,2510,24.5907342,120.9978962
26,愛的小窩,苗栗市,9.9,8,1558,23.680021,120.6616895
27,三義竺夢園民宿,三義鄉,8.8,571,996,24.4057834,120.7638117
28,飛牛牧場,通霄鎮,8.2,337,3091,24.4413122,120.7407314
