,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,薇風精品商務旅館 ,屏東市,8.7,584,1543
1,東之港汽車旅館 ,東港鎮,7.9,170,2191
2,鮪魚家族飯店 - 屏東館 ,屏東市,7.8,2313,2095
3,米堤Motel 屏東館 ,屏東市,7.9,446,884
4,六本木MOTEL-建華館  ,屏東市,8.5,2518,1385
5,薇風精品旅館 ,屏東市,8.5,2950,1333
6,50年代屏東市鄉下人家生活體驗,屏東市,8.4,988,1299
7,大鵬灣飯店 ,東港鎮,8.1,3048,1844
8,遇見‧秘境民宿 ,東港鎮,8.6,323,2340
9,六本木汽車旅館-自由館 ,屏東市,7.9,1646,1118
10,六本木MOTEL-大連館 ,屏東市,8.0,2355,1731
11,屏東禪居 ,屏東市,8.9,245,1496
12,富光商旅 ,屏東市,7.8,1104,1831
13,歐遊國際連鎖精品旅館 - 屏東館 ,屏東市,7.8,963,1408
14,帝寶16旅宿 ,枋寮,8.9,86,1558
15,眷新發客棧 ,屏東市,8.4,635,952
16,大鵬灣瞭望台 ,東港鎮,8.8,632,1762
17,東星大飯店 ,屏東市,7.1,135,1164
18,潮州-奇遇旅宿 ,潮州,9.3,471,1991
19,在路上  ,東港鎮,8.5,97,1126
20,子琪大飯店 ,屏東市,7.7,92,1082
21,東津御苑 ,東港鎮,8.9,257,3888
22,樂樂汽車旅館 ,屏東市,8.6,923,1325
23,東津朝海民宿 ,東港鎮,8.8,21,1974
24,進成旅店 ,屏東市,8.0,746,1676
25,格尚庭園汽車旅館 ,屏東市,8.5,815,1281
26,九如鄉的1臥室獨棟住宅 - 100平方公尺/1間專用衛浴 ,九如鄉,8.4,1,2360
27,自在旅店 ,東港鎮,8.7,234,1948
28,東港幸福168民宿 ,東港鎮,9.1,127,1557
29,霧台山豐民宿,霧台鄉,8.7,67,1385
30,枋寮的2臥室獨棟住宅 - 12平方公尺/2間專用衛浴 ,枋寮,7.1,8,873
31,輕旅宿 ,東港鎮,8.7,450,481
32,潮州86民宿 ,潮州,9.5,27,2933
33,灣稻旅居 ,東港鎮,9.0,510,1714
34,福灣莊園 ,東港鎮,7.6,248,3117
35,HO覓-好住 ,屏東市,10.0,1,476
36,Jophina,東港鎮,9.5,210,2726
37,東港景地精緻旅宿 ,東港鎮,8.2,150,1299
38,玉大曆HR行館 ,東港鎮,7.8,310,1550
39,高樹鄉獨棟住宅套房 - 33平方公尺/1間專用衛浴 ,高樹鄉,8.0,3,2936
40,東帆巷弄休閒民宿 ,東港鎮,9.6,231,1600
41,Sumu X Sumu,東港鎮,8.6,414,1039
42,高樹鄉獨棟住宅套房 - 20平方公尺/1間專用衛浴 ,高樹鄉,10.0,2,1449
43,樂憶時光 ,東港鎮,9.3,222,1565
44,艾khun行旅,東港鎮,9.0,122,1732
45,夏慕里11號旅宿  ,潮州,8.3,271,1541
46,屏東好 ,潮州,4.8,1,1558
47,枋寮春來輕旅 ,枋寮,9.1,168,1790
48,東立方旅宿-East ,東港鎮,9.0,234,1515
49,楓情汽車旅館,屏東市,7.5,101,1575
50,海豚城堡 ,東港鎮,8.4,615,762
51,高樹鄉獨棟住宅套房 - 20平方公尺/1間專用衛浴 ,高樹鄉,9.7,6,1467
52,芯緣閣旅店民宿 ,新園鄉,8.7,216,1714
53,多億旅宿 ,東港鎮,9.2,3,1714
54,江米輕旅一號店 ,潮州,8.9,191,1714
55,枋居背包客棧 ,枋寮,10.0,1,1290
56,震點樂汽車旅館 ,九如鄉,8.4,549,2065
57,霧台夢想之家 ,霧台鄉,8.6,4,2381
58,東港麗園民宿 ,東港鎮,8.6,147,1039
59,曼波印象 Motel ,潮州,8.2,134,2012
60,王子民宿 ,東港鎮,8.9,175,2000
61,一口田 ,潮州,7.4,112,1043
62,歐閣汽車旅館 - 屏東館 ,九如鄉,8.2,393,1247
63,七里香民宿 ,潮州,7.9,31,1048
64,東港樂遊趣民宿 ,東港鎮,8.5,235,1039
65,山山來遲 ,潮州,9.2,42,2667
66,留下旅舍 ,東港鎮,8.7,289,1515
67,富門大飯店  ,屏東市,7.7,667,1212
68,樹屋民宿 ,鹽埔鄉,8.5,180,1714
69,助宿 ,東港鎮,8.9,81,2370
70,花樣行館 ,東港鎮,8.7,90,1714
71,東港景地文旅 ,新園鄉,8.8,90,1299
72,綠芳水岸觀景民宿 ,東港鎮,7.6,202,2597
73,佳家民宿  ,林邊鄉,7.9,67,1169
74,海津&海町文旅 ,新園鄉,9.4,87,1671
75,得恩典旅宿  ,潮州,7.5,27,952
76,Xiaoliuqiu Leyu Sunrise Villa B&B,屏東市,no info,no info,1558
77,鐵騎休息棧,枋寮,8.7,222,1212
78,屏東潮州民宿樂活藝術家 ,潮州,9.4,271,1868
79,大鵬灣民宿 ,林邊鄉,8.9,3,998
80,築跡民宿 ,東港鎮,9.3,346,952
81,屏東的家,內埔鄉,9.0,71,1558
82,東港怡然雅居民宿 ,東港鎮,8.9,106,1299
83,大益火車民宿 ,東港鎮,8.3,122,3304
84,幸福浪漫旅 ,東港鎮,9.1,109,1905
85,枋寮小象民宿,枋寮,8.5,33,1126
86,大鵬灣灣民宿  ,林邊鄉,8.0,139,693
87,ㄧ個背包客棧,潮州,9.2,77,2267
88,華僑的家 ,東港鎮,8.2,102,957
89,No. 152民宿  ,東港鎮,9.3,130,1304
90,遇見·幸福地民宿 ,東港鎮,8.7,75,1505
91,發現號特色民宿  ,林邊鄉,8.6,862,1905
92,麟家民宿 ,麟洛鄉,no info,no info,1714
93,海王星會館特色民宿 ,東港鎮,8.1,82,1855
94,阿秀的家背包客棧 ,枋寮,7.1,6,866
95,枋居背包客棧 ,枋寮,8.9,96,381
96,樹貳舍,潮州,9.4,27,2814
97,蔚藍白鷺民宿,東港鎮,8.7,25,1739
98,東港日和民宿 ,東港鎮,8.9,62,1572
99,皇星汽車旅館 ,屏東市,8.1,286,1368
100,水映自在會館 ,東港鎮,8.7,76,3740
101,玉灣鵬灣民宿Jade Bay B&B,東港鎮,9.0,115,1701
102,想享愉民宿 ,里港鄉,8.6,113,1039
103,嘉蓮小棧民宿  ,東港鎮,8.7,28,1368
104,愛晴海．幸福灣民宿 ,東港鎮,8.8,83,1818
105,屏東市的1臥室公寓 - 16平方公尺/0間專用衛浴 ,屏東市,no info,no info,655
106,東港大鵬灣加利利民宿 ,東港鎮,9.6,2,1169
107,東港海灣精品民宿   ,東港鎮,8.1,38,1026
108,好客行館,東港鎮,8.7,226,2380
109,前寓民宿,東港鎮,9.4,55,2095
110,星之芳庭民宿Sweet Family B&B,潮州,9.3,12,2300
111,22旅店 ,東港鎮,8.8,192,1281
112,橋畔民宿 ,萬丹鄉,9.1,18,1790
113,利百佳文旅 ,潮州,9.5,4,2735
114,藍鷺鷥民宿,東港鎮,9.3,39,1714
115,以諾亞的家三館 ,林邊鄉,7.5,4,1455
116,屏東市的1臥室小屋 - 16平方公尺/1間專用衛浴 ,屏東市,no info,no info,1668
117,典藏金鵬灣  ,東港鎮,9.2,135,4252
118,風宿-環島東港站  ,東港鎮,9.0,116,1759
119,老街小棧民宿 ,潮州,8.1,43,1238
120,Duke369東港民宿 ,東港鎮,9.9,4,2731
121,以諾亞的家,林邊鄉,7.8,16,1568
122,幸福莊園庭園民宿 ,高樹鄉,8.8,41,2771
123,高樹鄉的2臥室獨棟住宅 - 60平方公尺/3間專用衛浴 ,高樹鄉,no info,no info,2599
124,恩典之家2館 ,瑪家鄉,8.0,11,3827
125,東港海風民宿 ,東港鎮,7.9,41,2453
