,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,薇風精品商務旅館,屏東市,8.7,584,1543,22.6721692,120.4850892
1,東之港汽車旅館,東港鎮,7.9,170,2191,22.4672854,120.4619707
2,鮪魚家族飯店 - 屏東館,屏東市,7.8,2313,2095,22.6697006,120.4927323
3,米堤Motel 屏東館,屏東市,7.9,446,884,22.6795938,120.4769229
4,六本木MOTEL-建華館,屏東市,8.5,2518,1385,22.6665642,120.4842195
5,薇風精品旅館,屏東市,8.5,2950,1333,22.6689743,120.4782263
6,50年代屏東市鄉下人家生活體驗,屏東市,8.4,988,1299,22.6742104,120.4807697
7,大鵬灣飯店,東港鎮,8.1,3048,1844,22.4507612,120.4699284
8,遇見‧秘境民宿,東港鎮,8.6,323,2340,22.4658819,120.4583867
9,六本木汽車旅館-自由館,屏東市,7.9,1646,1118,22.6842852,120.4861028
10,六本木MOTEL-大連館,屏東市,8.0,2355,1731,22.6825063,120.504394
11,屏東禪居,屏東市,8.9,245,1496,22.6795938,120.4769229
12,富光商旅,屏東市,7.8,1104,1831,22.6734744,120.4928989
13,歐遊國際連鎖精品旅館 - 屏東館,屏東市,7.8,963,1408,22.6537018,120.4615092
14,帝寶16旅宿,枋寮,8.9,86,1558,22.3686794,120.5925171
15,眷新發客棧,屏東市,8.4,635,952,22.6805124,120.4876484
16,大鵬灣瞭望台,東港鎮,8.8,632,1762,22.4605753,120.4568179
17,東星大飯店,屏東市,7.1,135,1164,22.6693729,120.4888955
18,潮州-奇遇旅宿,潮州,9.3,471,1991,22.552234,120.5394869
19,在路上,東港鎮,8.5,97,1126,22.4694551,120.464287
20,子琪大飯店,屏東市,7.7,92,1082,22.6734744,120.4928989
21,東津御苑,東港鎮,8.9,257,3888,22.464736,120.462475
22,樂樂汽車旅館,屏東市,8.6,923,1325,22.6877222,120.4827758
23,東津朝海民宿,東港鎮,8.8,21,1974,22.4640812,120.4622633
24,進成旅店,屏東市,8.0,746,1676,22.6702929,120.4888029
25,格尚庭園汽車旅館,屏東市,8.5,815,1281,22.6677263,120.4736931
26,九如鄉的1臥室獨棟住宅 - 100平方公尺1間專用衛浴,九如鄉,8.4,1,2360,22.7303193,120.4942616
27,自在旅店,東港鎮,8.7,234,1948,22.4335378,120.478792
28,東港幸福168民宿,東港鎮,9.1,127,1557,22.4672035,120.4584309
29,霧台山豐民宿,霧台鄉,8.7,67,1385,22.744001,120.7311567
30,枋寮的2臥室獨棟住宅 - 12平方公尺2間專用衛浴,枋寮,7.1,8,873,22.3991524,120.5928483
31,輕旅宿,東港鎮,8.7,450,481,22.4690041,120.4482831
32,潮州86民宿,潮州,9.5,27,2933,22.5626343,120.5429909
33,灣稻旅居,東港鎮,9.0,510,1714,22.4727801,120.465684
34,福灣莊園,東港鎮,7.6,248,3117,22.458524,120.482191
35,HO覓-好住,屏東市,10.0,1,476,22.6753837,120.4811433
36,Jophina,東港鎮,9.5,210,2726,22.4748036,120.4650545
37,東港景地精緻旅宿,東港鎮,8.2,150,1299,22.4773482,120.4645555
38,玉大曆HR行館,東港鎮,7.8,310,1550,22.4730012,120.46589
39,高樹鄉獨棟住宅套房 - 33平方公尺1間專用衛浴,高樹鄉,8.0,3,2936,22.8184247,120.588507
40,東帆巷弄休閒民宿,東港鎮,9.6,231,1600,22.4812312,120.4667662
41,Sumu X Sumu,東港鎮,8.6,414,1039,22.4792077,120.4679506
42,高樹鄉獨棟住宅套房 - 20平方公尺1間專用衛浴,高樹鄉,10.0,2,1449,22.8184247,120.588507
43,樂憶時光,東港鎮,9.3,222,1565,22.4757441,120.4680742
44,艾khun行旅,東港鎮,9.0,122,1732,22.4605296,120.4565773
45,夏慕里11號旅宿,潮州,8.3,271,1541,22.5510836,120.5475586
46,屏東好,潮州,4.8,1,1558,22.5515387,120.5405697
47,枋寮春來輕旅,枋寮,9.1,168,1790,22.3664362,120.5929501
48,東立方旅宿-East,東港鎮,9.0,234,1515,22.4624058,120.4605062
49,楓情汽車旅館,屏東市,7.5,101,1575,22.6833821,120.4827452
50,海豚城堡,東港鎮,8.4,615,762,22.4643805,120.4609935
51,高樹鄉獨棟住宅套房 - 20平方公尺1間專用衛浴,高樹鄉,9.7,6,1467,22.8184247,120.588507
