,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,宜舍單人旅店 ,中區,8.9,4203,1086
1,林酒店 ,西屯區,8.6,7901,4909
2,金典綠園道商旅 ,西區,7.6,2168,3475
3,葉綠宿旅館 - 逢甲館 ,逢甲,8.4,5464,1645
4,天韻精品旅館 ,西屯區,8.4,1260,3596
5,全國大飯店 ,西區,8.4,4387,2141
6,康茵行旅 ,南屯區,8.3,1634,1219
7,薆悅酒店五權館 ,北區,8.8,3029,2926
8,雙星大飯店  ,東區,8.3,17350,963
9,賀緹酒店 ,太平區,8.4,1476,3198
10,台中金典酒店 ,西區,8.7,6189,3116
11,Hotel 7 逢甲 ,逢甲,8.7,11750,1407
12,中科大飯店 ,北屯區,8.2,3902,2195
13,台中市政御璽 ,西屯區,8.8,3975,973
14,MINI HOTELS - 台中火車站館 ,東區,8.9,12174,1194
15,水雲端旗艦概念旅館 ,逢甲,8.5,4663,2712
16,長榮桂冠酒店 - 台中 ,西屯區,8.5,12441,2205
17,福容大飯店 - 麗寶樂園 ,后里區,8.6,1112,5408
18,巢。旅宿 ,中區,8.3,1111,1410
19,薆悅酒店台中館 ,東區,8.5,5131,1753
20,台中大毅老爺行旅 ,西區,8.9,7097,2851
21,天閣酒店台中館 ,南屯區,8.6,5730,2619
22,卡爾登飯店台中館 ,西區,8.5,7549,1623
23,台中SOGO草悟行館高樓兩面窗 A房 4-8人 ,西區,9.5,22,4290
24,豐邑逢甲商旅 ,逢甲,8.9,10172,2527
25,台中商旅 ,西屯區,9.0,3427,2338
26,台中日光溫泉會館 ,北屯區,8.2,1889,5955
27,北屯區的1臥室獨棟住宅 - 16平方公尺/1間專用衛浴 ,北屯區,9.3,79,1048
28,余舍行旅 ,逢甲,8.2,1964,2999
29,草悟道文旅 ,西區,7.9,4149,1033
30,植光花園飯店 ,中區,8.5,4972,1529
31,嬉行旅 ,西區,8.8,2212,2501
32,台中鳳凰酒店 ,中區,9.0,2,2510
33,城中城飯店 ,中區,8.2,386,1413
34,北區公寓套房 - 20平方公尺/1間專用衛浴 ,北區,4.8,8,764
35,寶島53行館 ,中區,8.7,14061,1183
36,塔木德酒店一中館 ,北區,8.5,3725,1382
37,台中威汀城市酒店 ,大雅區,8.5,7207,1752
38,北區的3臥室公寓 - 12平方公尺/1間專用衛浴 ,北區,8.9,6,1458
39,紅點文旅 ,中區,8.5,6000,1972
40,兆品酒店 - 兆尹樓 ,北屯區,7.9,4546,1468
41,西區公寓套房 - 39平方公尺/1間專用衛浴 ,西區,9.8,10,2246
42,愛麗絲國際大飯店 ,西區,8.5,11975,1949
43,谷關飯店 ,谷關,7.6,1756,2963
44,頭等艙飯店台中綠園道館 ,西區,8.8,10759,1684
45,台中逢甲文華道 ,逢甲,8.5,9620,1557
46,台中SOGO草悟旅居 B房 ,西區,9.4,17,2077
47,台中新幹線花園酒店 ,南屯區,8.5,1760,1870
48,台中豐邑MOXY酒店 ,南屯區,8.4,544,2424
49,塔木德酒店台中館 ,西屯區,8.1,3862,1543
50,豐原區的1臥室公寓 - 10平方公尺/1間專用衛浴 ,豐原區,8.5,30,971
51,KUN Hotel逢甲 ,逢甲,8.5,9876,1470
52,天月人文休閒汽車旅館 ,西屯區,8.0,1397,2161
53,豐原區的11臥室公寓 - 15平方公尺/11間專用衛浴 ,豐原區,9.1,30,1306
54,新驛旅店台中車站店 ,東區,8.8,10927,1250
55,北區的1臥室公寓 - 12平方公尺/1間專用衛浴 ,北區,7.8,5,1530
56,漫旅光城 ,中區,8.5,2070,1234
57,西屯區的1臥室獨棟住宅 - 6平方公尺/1間專用衛浴 ,龍井鄉,7.0,3,1094
58,台中逢甲星享道酒店 ,逢甲,8.6,4336,2875
59,成旅晶贊飯店 - 台中民權 ,中區,8.3,8143,1905
60,璞樹文旅 ,逢甲,8.7,4280,3187
61,House of Forest B&B,太平區,8.6,18,1472
62,碧根逢甲酒店 ,逢甲,8.4,13418,2143
63,赫絲珀HSR高鐵行旅 ,烏日區,8.4,3965,1621
64,豐原區的1臥室公寓 - 15平方公尺/1間專用衛浴 ,豐原區,7.9,6,1306
65,希堤微旅 - 逢甲店 ,西屯區,8.7,2992,1767
66,台中港酒店 ,梧棲區,8.3,2816,4517
67,日日逢甲 ,逢甲,8.2,105,1299
68,承億文旅 台中鳥日子 ,西區,7.9,5293,1922
69,星漾商旅 - 台中一中館 ,北區,8.5,3481,1637
70,永豐棧酒店大墩 ,西屯區,8.4,2441,7104
71,一中宿喜 ,中區,9.0,6315,1143
72,朗舍行館 ,中區,8.8,2672,1641
73,夢想12旅店 ,北區,8.4,2418,1122
74,水舞行館 ,南屯區,8.2,2263,2770
75,台中博客創意旅店 ,北區,8.3,7079,1528
76,臺中公園智選假日飯店 ,中區,8.3,5248,1780
77,台中萬楓酒店 ,逢甲,8.3,733,3300
78,雲河概念旅館 ,南屯區,8.7,4293,2728
79,挪威森林漫活休閒旅館 ,東區,8.5,1641,2061
80,楓華沐月台灣大道行館 ,北區,8.6,2652,1541
81,挪威森林文創館 ,南區,9.1,160,2234
82,極光情境旅館 ,北屯區,8.6,1319,1770
83,城市漫遊行旅 ,北屯區,8.8,1583,1644
84,富信大飯店 台中店 ,中區,8.4,3510,1805
85,富盛商旅 ,西屯區,8.8,3813,1828
86,企業家大飯店 ,東區,8.1,9985,999
87,縵和旅居 ,中區,9.6,146,3013
88,豐原中科后豐會館 ,豐原區,8.2,1535,1621
89,音樂世界旅邸 ,霧峰區,8.2,2938,2053
90,逢甲金瑞文旅 ,逢甲,8.6,3084,1515
91,富比世大飯店 ,北區,6.8,2149,599
92,大墩街旅店 ,中區,8.3,345,1328
93,富豪國際大飯店 ,北區,8.0,4746,1773
94,奇異果快捷旅店 - 站前一館 ,中區,8.0,9086,894
95,兆品酒店 - 品臻樓 ,北屯區,7.9,4962,1377
96,悅河精品旅館 ,西屯區,8.2,2201,1550
97,芭蕾城市渡假旅店 ,南屯區,8.3,1185,3116
98,逗點 INN ,東區,9.0,3717,1380
99,葉綠宿站前館-川閱 ,中區,8.6,617,1932
100,沐蘭精品旅館 - 台中館 ,西屯區,8.4,2586,3890
101,KUN Tour Hotel逢甲 ,逢甲,8.6,7746,1936
102,覓玥精品時尚旅館 ,太平區,8.5,2108,1633
103,高苑商務旅館中正店 ,北區,7.8,2444,999
104,逢甲伯達行旅 ,逢甲,7.9,6156,1809
105,想窩11餐旅館 ,沙鹿區,9.1,221,3331
106,浮雲客棧 ,逢甲,8.6,3896,1799
107,麗緹汽車旅館 ,北屯區,7.4,490,3002
108,台中愛戀旅店 ,北區,8.1,6096,764
109,來來商旅 ,北區,9.1,5201,2078
110,桂之旅 ,西屯區,8.7,4111,1722
111,台中一中時尚商旅 ,北區,7.2,3380,1293
112,川賦商旅 ,豐原區,7.9,1384,1053
113,時空行旅 ,西區,8.4,1861,1168
