,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,煙波大飯店台南館 ,台南市,9.1,12504,3105
1,台南大飯店 ,台南市,8.2,7537,1846
2,柏居 ,台南市,no info,no info,2860
3,安平區地區的4星級住宿 ,no info,8.0,5340,1835
4,Hotel A．台南（聖禾大飯店） ,台南市,8.6,4114,2043
5,康橋慢旅 ,台南市,9.0,4580,2493
6,108巷會館 ,台南市,8.9,1340,799
7,富驛時尚酒店 - 台南民生路館 ,台南市,8.4,10501,1619
8,臺邦商旅 ,安平區,8.9,7457,2835
9,掘旅 ,台南市,8.9,3942,2243
10,楓華沐月台南行館 ,台南市,8.0,10029,2817
11,泊樂行旅 - 中正館 ,台南市,8.8,1995,1260
12,府城窩旅 ,台南市,8.7,93,1416
13,台南月見溪行館 ,台南市,8.3,3656,1797
14,Oinn Hotel & Hostel 巷弄潮旅 ,台南市,9.0,1336,1558
15,小南天生活輕旅 ,台南市,8.5,2083,1636
16,台南長悅旅棧 ,台南市,8.8,4704,1940
17,台南老爺行旅 ,台南市,8.6,5936,3429
18,成大會館 ,台南市,8.8,1048,3489
19,台糖長榮酒店 ,台南市,8.8,6388,2558
20,泊樂行旅 - 赤崁店 ,台南市,8.5,4640,1245
21,名世大飯店 ,台南市,7.8,3954,848
22,暖時逸旅 ,台南市,9.1,1485,2617
23,清淨背包客棧-民權新館 ,台南市,9.4,1534,1905
24,新朝代飯店 ,台南市,8.2,4592,1212
25,老曼船長青年旅舍二館 ,台南市,8.5,3614,699
26,台南富信大飯店 ,台南市,8.9,4813,2337
27,清水漾 ,台南市,8.4,3652,2320
28,沐月二館 ,台南市,7.9,1087,3099
29,英王商旅 ,台南市,7.9,1063,1323
30,康橋商旅 - 民生館 ,台南市,8.7,1816,1931
31,台南維悅酒店 ,安平區,8.1,5348,1835
32,普羅民遮 ,台南市,9.8,412,2154
33,捷絲旅台南十鼓館 ,仁德區,8.8,471,2667
34,阿信旅店台南店 ,台南市,9.2,98,1654
35,榮美金鬱金香酒店 ,台南市,8.6,4643,2554
36,台南樸寓 ,安平區,9.4,76,1499
37,徠.歸仁飯店 ,歸仁區,8.7,927,2506
38,明森寓邸 ,台南市,9.2,648,1801
39,天下大飯店 ,台南市,8.3,3967,3312
40,家新大飯店 ,台南市,8.6,4251,2999
41,塔木德酒店台南館 ,台南市,8.1,9232,1586
42,轉角十號 ,仁德區,9.1,743,1286
43,道達旅店 ,台南市,8.9,3024,1915
44,揚悅精緻大飯店 - 台南館 ,台南市,7.3,1006,866
45,Old School - 南方家屋旅店 ,台南市,8.7,3753,1589
46,Bellus Inn,台南市,9.0,1048,2197
47,閱讀運河 ,安平區,8.8,212,1642
48,品記旅店 ,台南市,8.0,1724,1870
49,良文旅 ,台南市,9.0,111,1472
50,捷喬商旅 ,台南市,7.9,3093,1404
51,首相大飯店 ,台南市,7.7,1351,1506
52,大立大飯店 ,台南市,8.0,712,1714
53,台南商務會館 ,永康區,8.2,2465,2365
54,古根文旅 ,台南市,8.8,1334,2658
55,長榮興商務汽車旅館 ,台南市,7.5,770,2380
56,宇田商旅 ,新市區,8.4,584,2634
57,夏都富朗酒店 ,台南市,8.1,1339,2597
58,杉觀驛棧 ,台南市,9.0,1220,1089
59,合日旅所 ,台南市,9.0,923,1558
60,劍橋大飯店台南館 ,台南市,8.1,4516,1237
61,夏都城旅安平館 ,台南市,8.7,2837,3055
62,快活慢行 ,台南市,9.3,620,2244
63,桂田酒店 ,永康區,8.3,2204,3888
64,福憩背包客棧 - 和平館 ,台南市,8.8,1182,866
65,山籟渡假會館 ,白河區,8.4,432,2654
66,致穩人文商旅 ,永康區,8.5,679,2335
67,民國58年 ,台南市,8.6,270,952
68,聖旺商旅 ,台南市,8.5,1644,1751
69,南科贊美酒店 ,善化區,8.3,1241,2486
70,文悅旅棧 ,台南市,8.8,3458,1667
71,歐悅國際連鎖精品旅館-永康館 ,永康區,8.0,3539,1822
72,漫漫好宅 ,台南市,8.7,1849,1474
73,靡生 ,台南市,9.0,1101,2104
74,圖森文旅 ,永康區,8.4,2910,1418
75,F Hotel台南館 ,台南市,8.2,1240,2918
76,河樂文旅 ,台南市,8.5,606,1669
77,亞帝大飯店  ,台南市,6.9,692,1004
78,台南大員皇冠假日酒店 ,安平區,8.9,2837,4772
79,赤樓古巷 ,台南市,8.8,607,1739
80,花水木文旅 ,安平區,9.0,1442,1374
81,台南玩家小西門 ,台南市,9.3,1707,1938
82,華南商旅 ,永康區,6.8,946,788
83,旅幸福-啤酒花 ,台南市,8.5,1423,2431
84,蓋茲比公寓 ,台南市,8.6,1123,1423
85,英代大飯店 ,台南市,8.3,1842,1195
86,未艾公寓 ,台南市,8.9,629,2418
87,良文旅2館Ryou Hotel Vintage - II,台南市,8.8,159,1082
88,阿信旅店 ,台南市,9.5,39,1714
89,艾睏連鎖民宿-台南館 ,台南市,8.8,163,1441
90,星象商旅 ,台南市,8.1,1712,1216
91,歐悅國際連鎖精品旅館-新營館 ,新營區,8.2,2206,1697
92,湖美時尚汽車旅館 ,安平區,8.4,1524,2352
93,今回行旅 ,台南市,8.6,1278,1247
94,玩聚安平設計師民宿 ,安平區,8.5,515,1509
95,青森精品商旅 ,歸仁區,7.9,1384,2435
96,米堤Motel 台南館 ,安平區,6.7,248,749
97,沐府海旅 ,安平區,7.6,1114,2730
98,均英商務飯店 ,台南市,7.0,2208,692
