,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,淡水將捷金鬱金香酒店 ,淡水區,8.8,1714,3873
1,兄弟大飯店 ,松山區,8.7,6614,2251
2,台北東旅 ,松山區,8.7,3468,2674
3,台北西華飯店 ,松山區,8.7,5714,6714
4,薆悅酒店野柳渡假館 ,萬里區,8.4,4642,2568
5,寒舍艾麗酒店 ,信義區,8.9,4974,4396
6,九份九重町民宿 ,九份,8.4,3178,2618
7,初見輕旅 ,西門町,8.2,833,1210
8,首都大飯店松山館 ,松山區,8.2,5493,2633
9,德立莊酒店 ,西門町,8.1,27231,935
10,和苑三井花園飯店 台北忠孝 ,大安區,9.1,2731,2600
11,雅堤旅居 ,新店區,7.3,665,1667
12,富信大飯店 - 台北旗艦館 ,汐止區,8.5,3300,1987
13,美亞商旅 ,中正區,8.4,6257,1344
14,北投嘉賓閣溫泉會館 ,北投區,7.7,1279,2770
15,溫泉渡假五星級套房,淡水區,9.2,63,3096
16,金普頓大安酒店 ,大安區,9.2,1513,4005
17,歐悅國際連鎖精品旅館-林口館 ,林口區,8.2,3329,1780
18,大安公園旅店 ,中正區,8.3,3863,915
19,Hotel PaPa Whale,西門町,8.4,18419,849
20,JR東日本大飯店 台北 ,中山區,9.1,267,3290
21,台北凱達大飯店 ,萬華區,8.6,18998,1905
22,九份的1臥室公寓 - 66平方公尺/1間專用衛浴 ,九份,8.0,4,2618
23,承億文旅淡水吹風 ,淡水區,8.1,4933,1818
24,臺北摩莎精品旅店 ,中正區,8.2,17369,999
25,日月民宿 ,烏來區,8.2,427,2805
26,阿樹國際旅店 ,松山區,8.8,4443,2771
27,城市商旅 - 南東館防疫旅館 ,松山區,8.3,4092,3822
28,白色教堂2-7人房/台北車站Z2出口100m/寵物免費/備地下停車場/收紙本五倍卷 ,中正區,6.0,3,1151
29,台北北門世民酒店 ,西門町,8.8,12968,1381
30,台北國泰萬怡酒店 ,中山區,9.1,2054,3150
31,台北花園大酒店 ,中正區,8.4,6239,2510
32,洛碁大飯店南京館 ,中山區,8.8,6189,1579
33,九份小喵喵海景民宿 ,九份,9.4,53,1818
34,台北美侖大飯店 ,大安區,8.5,11464,2459
35,台北新板希爾頓酒店 ,板橋區,8.7,2269,3400
36,臺北中山九昱希爾頓逸林酒店 ,中山區,9.1,980,3600
