,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,淡水將捷金鬱金香酒店,淡水區,8.8,1714,3873,25.1771061,121.429607
1,兄弟大飯店,松山區,8.7,6614,2251,25.0520794,121.5446098
2,台北東旅,松山區,8.7,3468,2674,25.051811,121.560413
3,台北西華飯店,松山區,8.7,5714,6714,25.0581546,121.5457865
4,薆悅酒店野柳渡假館,萬里區,8.4,4642,2568,25.2039939,121.6901112
5,寒舍艾麗酒店,信義區,8.9,4974,4396,25.0386933,121.567342
6,九份九重町民宿,九份,8.4,3178,2618,25.1090864,121.8455747
7,初見輕旅,西門町,8.2,833,1210,25.0483329,121.5078437
8,首都大飯店松山館,松山區,8.2,5493,2633,25.0498246,121.5756566
9,德立莊酒店,西門町,8.1,27231,935,25.0427142,121.5094583
10,和苑三井花園飯店 台北忠孝,大安區,9.1,2731,2600,25.0418404,121.5343175
11,雅堤旅居,新店區,7.3,665,1667,24.9856026,121.5521446
12,富信大飯店 - 台北旗艦館,汐止區,8.5,3300,1987,25.0548573,121.631371
13,美亞商旅,中正區,8.4,6257,1344,25.046222,121.51583
14,北投嘉賓閣溫泉會館,北投區,7.7,1279,2770,25.1358795,121.5059957
15,溫泉渡假五星級套房,淡水區,9.2,63,3096,25.1616408,121.4543359
16,金普頓大安酒店,大安區,9.2,1513,4005,25.0404303,121.5454438
17,歐悅國際連鎖精品旅館-林口館,林口區,8.2,3329,1780,25.0812714,121.3744691
18,大安公園旅店,中正區,8.3,3863,915,25.033849,121.5319435
19,Hotel PaPa Whale,西門町,8.4,18419,849,25.046758,121.5058059
20,JR東日本大飯店 台北,中山區,9.1,267,3290,25.0523025,121.5413286
21,台北凱達大飯店,萬華區,8.6,18998,1905,25.0332383,121.4997947
22,九份的1臥室公寓 - 66平方公尺1間專用衛浴,九份,8.0,4,2618,25.1086958,121.8455635
23,承億文旅淡水吹風,淡水區,8.1,4933,1818,25.1816811,121.4214621
24,臺北摩莎精品旅店,中正區,8.2,17369,999,25.0456265,121.5128105
25,日月民宿,烏來區,8.2,427,2805,24.864007,121.551996
26,阿樹國際旅店,松山區,8.8,4443,2771,25.0479619,121.5527928
27,城市商旅 - 南東館防疫旅館,松山區,8.3,4092,3822,25.0515537,121.5700485
28,白色教堂2-7人房台北車站Z2出口100m寵物免費備地下停車場收紙本五倍卷,中正區,6.0,3,1151,25.0464566,121.516197
29,台北北門世民酒店,西門町,8.8,12968,1381,25.0473607,121.5104759
30,台北國泰萬怡酒店,中山區,9.1,2054,3150,25.0574608,121.5375542
31,台北花園大酒店,中正區,8.4,6239,2510,25.0364701,121.5069231
32,洛碁大飯店南京館,中山區,8.8,6189,1579,25.0519879,121.5366495
33,九份小喵喵海景民宿,九份,9.4,53,1818,25.1075239,121.8449898
34,台北美侖大飯店,大安區,8.5,11464,2459,25.0342784,121.5439044
35,台北新板希爾頓酒店,板橋區,8.7,2269,3400,25.0113092,121.4624908
36,臺北中山九昱希爾頓逸林酒店,中山區,9.1,980,3600,25.0513881,121.5228118
37,洛碁大飯店建北館,中山區,8.3,4322,1449,25.0510991,121.5363814
38,信義區公寓套房 - 26平方公尺1間專用衛浴,信義區,9.0,20,1623,25.0287142,121.5723161
39,南港老爺行旅,南港區,8.9,1983,3268,25.0598488,121.6147317
40,富驛時尚酒店 - 台北南京東路館,中山區,8.2,7202,1496,25.0524177,121.5407397
41,西門町公寓套房 - 20平方公尺1間專用衛浴,西門町,7.5,7,2106,25.0439307,121.5057726
42,格拉斯麗台北飯店,中正區,9.3,355,2650,25.0431061,121.5306983
43,水旅宿輕旅,淡水區,10.0,2,1790,25.0954229,121.3575441
44,單人房住宿空間 台北館,板橋區,8.5,6505,1113,25.0104773,121.4589682
45,國聯大飯店,大安區,8.2,10799,1925,25.0421642,121.5573132
46,老爺會館台北南西 - 捷運中山站,中山區,8.5,4262,2384,25.0525861,121.5217131
47,大安區公寓套房 - 42平方公尺1間專用衛浴,大安區,9.2,137,2509,25.0263074,121.543846
48,台北君悅酒店,信義區,8.7,3439,4499,25.0352738,121.5625662
49,凱旋酒店,內湖區,8.9,4083,2424,25.0775343,121.5780231
50,洛碁大飯店中華館,西門町,8.3,10633,1278,25.044924,121.509441
51,大安區的1臥室公寓 - 33平方公尺1間專用衛浴,大安區,8.6,14,2469,25.022905,121.5264595
52,天閣酒店 - 復興店,松山區,8.9,2354,2385,25.0537597,121.544289
53,和逸飯店‧台北民生館,中山區,8.6,1705,2700,25.057681,121.5361998
54,黑熊好眠站旅館 - 台北橋站,三重區,8.7,9266,524,25.063051,121.499599
55,西門町公寓套房 - 20平方公尺1間專用衛浴,西門町,8.2,5,2143,25.0439307,121.5057726
56,天閣酒店台北士林,士林區,9.1,1236,1817,25.0827683,121.5241899
57,天閣酒店台北劍潭,士林區,9.1,3248,2819,25.0826061,121.5242342
58,雲頂溫泉行館,烏來區,8.7,108,3969,24.8638235,121.5464763
59,圓山大飯店,中山區,8.5,6432,2481,25.0789127,121.5265198
60,九份山午,九份,9.2,209,2000,25.109874,121.844588
61,傑仕堡有氧酒店,板橋區,9.1,1461,1934,25.0176689,121.4694143
62,摩莎曼拉精品旅館 - 台北車站館,中正區,8.2,7359,909,25.046165,121.5129183
63,沃旅,信義區,8.5,332,1887,25.04167,121.5672677
64,烏來Spring Spa溫泉山莊,烏來區,8.3,1232,3117,24.8730069,121.5473388
65,捷絲旅 - 西門町館,西門町,8.6,7946,1999,25.0826061,121.5242342
66,洛碁大飯店南港館,南港區,8.6,5417,3519,24.8638235,121.5464763
67,OwlStay 故事所 山中夢遊,九份,8.9,1212,1682,25.108277,121.8432597
68,富信大飯店二館,汐止區,8.4,2288,1783,25.055428,121.632019
69,台北萬豪酒店,中山區,8.6,1031,5000,25.0805034,121.5589681
70,YMCA台北青年國際旅館,中正區,8.3,3322,1501,25.046165,121.5129183
71,丹迪旅店 大安森林公園店,大安區,8.9,5586,2812,25.0337761,121.5346933
72,柔美精品商旅,中山區,8.1,1965,1885,25.0544248,121.5359505
73,天成文旅-華山町,中正區,8.9,2766,1246,25.0432362,121.5304253
74,洛碁大飯店忠孝館,大安區,8.8,6976,2523,25.0409686,121.5515016
75,福容大飯店 - 淡水漁人碼頭,淡水區,8.3,2094,4533,25.181938,121.4158369
76,老爺會館台北林森 - 華山1914文化創意產業園區,中山區,8.5,3140,2335,25.0496333,121.5248752
77,麗之湯溫泉會館,北投區,7.7,1892,1915,25.136152,121.5139602
78,松哖酒店,大安區,8.5,1634,2337,25.0378259,121.5335349
79,和逸飯店‧台北忠孝館,中正區,8.8,1737,2900,25.0445459,121.5253296
80,華泰王子大飯店,中山區,8.1,1819,1385,25.0578283,121.5257565
81,凱統大飯店,大安區,8.0,4313,1576,25.0418865,121.5335038
82,翰品酒店 新莊,新莊區,8.6,2235,1683,25.0377619,121.457766
83,城市商旅站前館,中正區,8.6,3834,973,25.0511033,121.512159
84,沃田旅店,士林區,8.6,3453,1574,25.1229244,121.531812
85,趣旅館 - 林森館,中山區,8.5,12645,1215,25.0613353,121.5266088
86,沐舍溫泉渡假酒店,萬里區,7.5,1856,3377,25.215316,121.643378
87,趣旅館 - 林森館,中山區,8.5,12645,1215,25.0613353,121.5266088
88,天雲旅棧 台北中山,中山區,9.0,1481,1636,25.050322,121.5233024
89,南陽街壹號旅店,中正區,8.6,6044,1310,25.0457442,121.5161826
90,路徒Plus行旅-站前館,中正區,9.1,84,3958,25.0468664,121.5137659
91,台北士林萬麗酒店,士林區,8.7,620,4730,25.0931789,121.5291918
92,神旺大飯店,大安區,8.1,1454,2257,25.0412444,121.5508965
93,小公館人文旅舍,松山區,9.0,1972,2086,25.0515551,121.5696835
94,燦路都飯店,中山區,8.4,2494,1365,25.0629459,121.5233055
95,正旅館 - 信義館,信義區,8.7,2737,1187,25.0422061,121.5648585
96,谷墨商旅,大安區,8.3,5859,1904,25.026662,121.530904
97,樂居·微風,中山區,8.9,1652,2085,25.0575812,121.5236968
98,晶贊都會旅店台北永和,永和區,8.8,6222,1999,25.0128589,121.5153639
99,欣欣時尚旅店 - 松山館,松山區,7.5,1419,1876,25.0503697,121.5703383
100,新驛旅店台北車站三館,中正區,8.8,5684,2084,25.0412444,121.5508965
101,慕軒飯店,大安區,8.8,1400,3716,25.0340076,121.5492953
102,薇閣精品旅館 - 大直旗艦館,中山區,8.3,3055,2429,25.0835911,121.5557324
103,洛碁大飯店舞衣南京館,中山區,8.6,3713,1357,25.052255,121.535989
104,仲信商務會館,新店區,7.2,1161,1650,24.9822832,121.5427548
105,洛碁大飯店松山館,南港區,8.6,3995,3450,25.0452392,121.5836913
106,日光拾玖,中正區,8.9,2539,1876,25.0459161,121.5159819
107,鳳凰閣溫泉飯店,北投區,8.3,2117,2532,25.1361329,121.5105003
108,欣欣時尚旅店 - 西門館,西門町,7.6,674,1280,25.0412444,121.5508965
109,F Hotel 台北蘆洲館,蘆洲區,8.7,1454,1675,25.0812169,121.4800645
110,樂頤飯店-蘆洲台北,蘆洲區,8.8,2740,1865,25.0820839,121.4799862
111,柯達大飯店 - 台北長安,中山區,9.0,1879,2498,25.0485773,121.5332234
112,明月溫泉,烏來區,8.3,2071,4416,24.8639949,121.5519345
113,林口亞昕福朋喜來登酒店,林口區,8.7,371,3800,25.0663383,121.3608515
114,碧潭飯店,新店區,7.5,2674,1258,24.9580865,121.5342261
115,成旅晶贊飯店 - 台北蘆洲,蘆洲區,8.8,6559,1718,25.0804786,121.4804555
116,新驛旅店台北車站一館,中正區,8.6,2659,1681,25.0462145,121.5143012
117,瑪奇文旅,文山區,8.4,1724,1507,24.9926576,121.54187
118,北投輕行旅,北投區,8.4,4801,2107,25.1379307,121.4859403
119,新驛旅店台北車站二館,中正區,8.8,3996,1344,25.0510831,121.5166054
120,H&九份山經海景民宿,九份,8.1,1407,2112,25.1067883,121.8420417
121,新莊幸福讚精品飯店,新莊區,8.5,1663,1302,25.051142,121.4610959
122,York Hotel,中正區,8.2,5043,1785,25.045002,121.516184
123,美麗殿商旅-板橋館,板橋區,8.0,6010,1582,25.00926,121.4579682
124,新加州景觀旅館,新店區,8.2,1790,1885,24.9587971,121.5373921
125,維多麗亞酒店,中山區,8.6,1189,3300,25.0842616,121.5589481
126,喜瑞飯店,中山區,8.7,5132,2504,25.0478929,121.5293787
127,宜家商旅,內湖區,8.4,3138,1869,25.074194,121.589654
128,山水妍溫泉會館,烏來區,7.3,1828,2287,24.8604123,121.5491535
129,華山文旅,中正區,8.1,2105,1926,25.0442097,121.5304393
130,蒲園飯店,松山區,8.7,1688,1434,25.0486362,121.5634139
131,丰居旅店-忠孝館,大安區,8.4,2258,1474,25.0433292,121.5430572
132,丰居旅店-忠孝館,大安區,8.4,2258,1474,25.0433292,121.5430572
133,方舟旅店 - 長安復興館,中山區,8.3,4369,1455,25.048105,121.5431755
134,路境行旅,中正區,8.7,9224,1328,25.0431277,121.5130411
135,五月家台大館,文山區,8.2,2199,1190,25.0104988,121.5370831
136,凡登台北商務旅店,大安區,7.7,6267,917,25.0417335,121.551828
137,艾爾行旅,大安區,8.5,1643,1848,25.0417757,121.5476808
138,台北福華大飯店,大安區,8.2,5104,4100,25.0375569,121.5430635
139,你好咖啡旅店,大安區,8.8,1790,1784,25.0338897,121.5422477
140,藝宿商旅台北寧夏館,中正區,8.0,5248,565,25.0533771,121.5140612
141,台北北城大飯店,中山區,7.9,557,934,25.0548028,121.5413139
142,四季山妍溫泉會館,烏來區,7.3,778,2180,24.859264,121.5483032
143,帥客旅店,中正區,7.7,3461,1425,25.0300212,121.5196306
144,信星青年旅館- 台北車站,中正區,9.4,9189,1403,25.0500815,121.5155797
145,城市商旅 - 北門館,大同區,8.4,2471,944,25.0521438,121.5107958
146,家賓旅店,文山區,8.2,1239,1368,24.991714,121.5412059
147,台糖台北會館,西門町,8.1,2009,2451,25.045373,121.5095327
148,洛碁大飯店山水閣,中山區,8.1,2266,1410,25.0633004,121.5227476
149,旅樂序精品旅館站前一館,中正區,8.4,3410,1664,25.045922,121.514758
150,太平洋商旅,信義區,8.4,3789,3500,25.0323712,121.5579784
151,馥都飯店,板橋區,8.9,3967,2239,25.0076217,121.4582824
152,品川商旅,板橋區,8.0,4007,1570,25.0076294,121.4616316
153,台北敘美行旅,中正區,8.1,1703,1975,25.0429188,121.5130915
154,香奈爾精品汽車旅館-新莊館,新莊區,8.5,2569,1455,25.0286275,121.4336199
155,悠逸商旅 - 台北士林館,士林區,8.8,3987,1824,25.0896401,121.5182454
156,漁人碼頭休閒旅館,淡水區,8.2,1908,1284,25.1816518,121.4206455
157,長緹海景飯店,淡水區,7.8,1054,1177,25.1840401,121.4205398
158,台北西門町意舍,西門町,8.6,5277,1710,25.0451762,121.5056699
159,漫映旅舍,中山區,8.3,1054,1309,25.0515797,121.5299273
160,西門日記 - 六福館,西門町,7.7,8056,950,25.0456583,121.5057944
161,鉑泊客旅店,中正區,8.6,4604,1327,25.0450716,121.5134997
162,Chengzhong Stay,中正區,7.7,1780,623,25.0328671,121.5215663
163,雅璞文旅,中正區,8.7,5105,537,25.0458037,121.5147078
164,群策翡翠灣溫泉飯店,萬里區,8.5,829,2322,25.1912526,121.6839901
165,湯語雙泉館,金山區,7.4,985,2900,25.2222775,121.6312661
166,挪威森林頂級Villa汽車旅館,板橋區,8.0,884,1849,24.9931599,121.4604214
167,囍閱文旅,西門町,8.8,1162,1541,25.0407719,121.506922
168,葛瑞絲商旅,中和區,8.8,3248,1722,25.0027387,121.498935
169,柯達大飯店台北敦南,大安區,8.4,1890,2335,25.0210301,121.5482485
170,米尼旅店,中正區,8.9,5019,1203,25.046091,121.5190007
171,安盛商務旅館,新店區,8.7,599,1971,24.981741,121.5385
172,情人溫泉民宿,烏來區,8.9,208,2563,24.86,121.5516667
173,印石時尚旅館,文山區,7.9,294,2455,24.9923011,121.5754939
174,大埔硫磺溫泉商旅,萬里區,8.5,1378,2315,25.2158716,121.6432855
175,西門日記旅店,西門町,8.0,4436,990,25.044676,121.5085675
176,富裕自由商旅 - 忠孝館,大安區,8.1,7135,3273,25.0416684,121.5537839
177,沃客汽車旅館,北投區,8.0,3527,1546,25.1157388,121.5066943
178,泡泡飯店,大安區,8.3,1051,2938,25.0440857,121.5532094
179,沐蘭精品旅館 - 台北館,中山區,7.7,1478,2525,25.080895,121.5618219
180,烏來水岸,烏來區,8.6,447,3999,24.8620725,121.5508035
181,天母貴族商務旅館,士林區,7.9,1206,1392,25.1092237,121.5311952
182,茄子青旅,松山區,8.4,4674,1733,25.0519297,121.5606949
183,長春商務旅館,松山區,7.7,499,1855,25.0540939,121.5455422
184,和昌商旅・淡水館,淡水區,7.5,1605,1130,25.1805334,121.421497
185,國王大飯店,中山區,7.7,596,1233,25.0517727,121.5266896
186,詩漫精品旅館 - 站前館,中正區,8.3,5950,1266,25.0457831,121.5148402
187,帝景飯店,新店區,7.8,2302,1841,24.9574547,121.5343202
188,天 祥 棧,中山區,8.2,1501,812,25.0619672,121.5199813
189,金湧泉spa溫泉會館,萬里區,7.6,326,2424,25.2162418,121.6429913
190,西門航棧商旅,西門町,8.5,2166,1361,25.0431947,121.5080377
191,慕居行旅,信義區,8.7,2270,2407,25.0319174,121.5585799
192,大師商旅,中正區,7.8,2555,1714,25.0490428,121.5185002
193,正點商務旅店,板橋區,7.7,1204,1538,25.0135059,121.4605372
194,士林讚,士林區,7.8,1179,1558,25.0954676,121.5257718
195,第一大飯店,中山區,7.2,1362,1406,25.0523076,121.5302258
196,悠趣旅店,松山區,8.6,4064,2486,25.0483319,121.5448361
197,探索汽車旅館 - 土城館,土城區,7.4,1593,2499,24.9903003,121.4737419
198,Wa Hotel,中山區,9.0,637,1505,25.0431947,121.5080377
199,歐遊國際連鎖精品旅館 - 新莊館,新莊區,8.3,1844,2271,25.0592787,121.4604757
200,正 旅館,中正區,8.4,4018,969,25.0468926,121.5134161
201,沃客商旅成功館,三重區,7.9,2750,1061,25.0517786,121.4881353
202,大稻埕花園旅店,大同區,8.5,519,3261,25.0622092,121.5091733
203,台北清翼居旅店,板橋區,8.2,2358,1445,25.007151,121.460652
204,沃客商旅正義館,三重區,7.3,4622,1105,25.0603095,121.4982208
205,挪威森林精品SPA汽車旅館,新店區,7.9,1044,2060,24.9812092,121.550669
206,丹迪旅店天津店,中山區,8.8,1406,3750,25.0431947,121.5080377
207,臺北天禾旅店,西門町,8.0,7153,999,25.042657,121.5079953
208,文舺行旅,萬華區,8.8,962,1787,25.0375647,121.4997211
209,美麗殿精品旅館 - 中和館,中和區,8.2,1150,2250,25.0062459,121.4880015
210,探索汽車旅館 - 南港館,南港區,7.0,1653,3249,25.0555204,121.597128
211,基河青旅,士林區,8.4,388,1472,25.007151,121.460652
212,台灣青旅膠囊旅店,中正區,9.1,4822,1247,25.0450428,121.5177535
213,睡覺盒子青年旅館,中正區,7.7,5557,692,25.042221,121.512555
214,福爾摩莎101青年旅館,信義區,8.5,2719,1180,25.0287151,121.5571823
215,帝苑時尚旅店,板橋區,7.9,2698,1218,25.0203387,121.4666318
216,麗都飯店,大安區,8.5,1936,2068,25.0337878,121.5337333
217,天方夜譚,九份,8.3,629,1558,25.1097525,121.8441885
218,景安精品旅館,中和區,8.1,1611,1636,24.996405,121.5044751
219,真的好晶漾會館,新莊區,7.6,777,1302,25.0533489,121.4514879
220,西悠飯店,大同區,8.5,4144,699,25.0569457,121.5160994
221,薇閣精品旅館 林森館,中山區,8.3,763,3636,25.0605452,121.5263559
222,雅歌會館,淡水區,7.9,596,1734,25.168949,121.448014
223,葳皇時尚飯店,大同區,8.3,3293,632,25.059173,121.511687
224,藏愛旅店,三重區,7.1,603,2482,25.0516667,121.4891667
225,陽光味宿,九份,8.7,1269,2029,25.110626,121.8423355
226,士林公寓,士林區,7.7,1577,1545,25.091176,121.5246019
227,祕境花園溫泉會館,烏來區,7.6,903,2701,24.861658,121.5485687
228,台北圓環棧,中正區,8.4,1311,620,25.0525583,121.5131134
229,台北北門窩泊旅,中正區,8.5,4553,951,25.052234,121.5155
230,儷閣別墅旅館,中和區,8.0,831,1660,24.9811586,121.4848212
231,美代溫泉飯店,北投區,8.2,36,3429,25.1372222,121.5108333
232,內江商旅,西門町,7.9,2524,1409,25.0415948,121.5058735
233,東門3號膠囊旅店,大安區,9.1,3421,693,25.0338053,121.5276875
234,天津大飯店,中山區,7.5,1136,857,25.0510489,121.523416
235,HATAGO+ THE ALLEY,西門町,8.8,803,1232,25.0451781,121.5098615
236,西門好好玩,西門町,7.7,11046,937,25.0457185,121.5052615
237,友統大飯店,大安區,8.1,710,1169,25.0417049,121.5516539
238,烏來淞呂溫泉會館,烏來區,7.6,316,4156,24.865853,121.547527
239,中原棧,中山區,7.3,292,1093,25.0584528,121.5289917
240,凡登 東棧商務旅店,大安區,8.0,2671,917,25.041744,121.55213
241,台北天晴青年旅店,中正區,9.3,2902,1166,25.042667,121.513943
242,仙渡莊旅社,北投區,8.1,200,1076,25.1236857,121.465831
243,安和精品旅館,大安區,7.9,138,1922,25.0339569,121.552715
244,金帥飯店,西門町,7.1,3601,937,25.0426126,121.5046471
245,甲山林湯旅,中山區,8.5,791,3876,25.0559371,121.5398169
246,愛客發時尚旅館 - 萬年館,西門町,7.8,8722,1128,25.043488,121.505978
247,泊客青旅,中正區,7.1,1761,778,25.0454867,121.5174126
248,金湧泉溫泉汽車旅館,萬里區,8.1,353,2400,25.2170626,121.6442173
249,Sea Cafe九份金瓜石景觀民宿,九份,8.8,393,2356,25.1194997,121.8610084
