,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,和苑三井花園飯店 台北忠孝 ,大安區,9.1,2731.0,2788
1,美亞商旅 ,中正區,8.4,6257.0,2700
2,薆悅酒店野柳渡假館 ,萬里區,8.4,4642.0,2568
3,寒舍艾麗酒店 ,信義區,8.9,3854.0,6576
4,OwlStay 故事所 山中夢遊 ,九份,8.9,1212.0,1704
5,德立莊酒店 ,西門町,8.1,27229.0,2338
6,九份九重町民宿 ,九份,8.4,3178.0,2933
7,怡品商旅 ,大安區,8.7,8069.0,2634
8,麗之湯溫泉會館 ,北投區,7.7,1892.0,2221
9,國聯大飯店 ,大安區,8.2,10798.0,2187
10,雅堤旅居 ,新店區,7.3,665.0,1667
11,台北天成大飯店 ,中正區,8.4,10811.0,2663
12,南港老爺行旅 ,南港區,8.9,1983.0,3273
13,北投春天溫泉酒店 ,北投區,7.7,2398.0,4519
14,白色教堂2-7人房,中正區,6.0,3.0,1146
15,台北凱達大飯店 ,萬華區,8.6,18998.0,1905
16,歐悅國際連鎖精品旅館-林口館 ,林口區,8.2,3328.0,2101
17,富驛時尚酒店 - 台北南京東路館 ,中山區,8.2,7202.0,1745
18,陽明山家新溫泉和升會館 ,金山區,8.3,229.0,4312
19,台北西華飯店 ,松山區,8.7,5714.0,6717
20,台北北門世民酒店 ,西門町,8.8,12968.0,2000
21,水旅宿輕旅,淡水區,10.0,2.0,1667
22,仲信商務會館 ,新店區,7.2,1161.0,1650
23,F Hotel 台北蘆洲館 ,蘆洲區,8.7,1454.0,1675
24,101景觀2-7人房,中正區,10.0,1.0,1321
25,阿樹國際旅店 ,松山區,8.8,4443.0,2771
26,JR東日本大飯店 台北 ,中山區,9.1,266.0,5714
27,大安區公寓套房 - 42平方公尺,大安區,9.3,4.0,3174
28,白宮行館沙灘溫泉渡假村 ,萬里區,8.2,1171.0,5206
29,洛碁大飯店建北館 ,中山區,8.3,4322.0,1449
30,大安區公寓套房 - 42平方公尺,大安區,9.4,7.0,2625
31,台北美侖大飯店 ,大安區,8.5,11464.0,2766
