,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,兄弟大飯店,松山區,8.7,6614.0,2251,25.0520794,121.5446098
1,薆悅酒店野柳渡假館,萬里區,8.4,4642.0,2568,25.2039939,121.6901112
2,寒舍艾麗酒店,信義區,8.8,4973.0,6572,25.0386933,121.567342
3,和苑三井花園飯店 台北忠孝,大安區,9.1,2731.0,2788,25.0418404,121.5343175
4,九份九重町民宿,九份,8.4,3178.0,2933,25.1090864,121.8455747
5,洛碁大飯店南京館,中山區,8.8,6189.0,1557,25.0519879,121.5366495
6,OwlStay 故事所 山中夢遊,九份,8.9,1212.0,1704,25.108277,121.8432597
7,台北老爺大酒店,中山區,8.8,2709.0,3030,25.053857,121.52291
8,國聯大飯店,大安區,8.2,10798.0,2187,25.0421642,121.5573132
9,白色教堂2-7人房,中正區,6.0,3.0,1146,25.0293008,121.5205833
10,德立莊酒店,西門町,8.1,27230.0,2338,25.0427142,121.5094583
11,怡品商旅,大安區,8.7,8069.0,2634,25.0417914,121.5476923
12,阿樹國際旅店,松山區,8.8,4443.0,2771,25.0478562,121.552773
13,雅堤旅居,新店區,7.3,665.0,1667,24.9856026,121.5521446
14,富驛時尚酒店 - 台北南京東路館,中山區,8.2,7202.0,1745,25.0524177,121.5407397
15,JR東日本大飯店 台北,中山區,9.1,266.0,5714,25.0523025,121.5413286
16,南港老爺行旅,南港區,8.9,1983.0,3273,25.0598488,121.6147317
17,台北天成大飯店,中正區,8.4,10811.0,2663,25.0463786,121.5182543
18,台北西華飯店,松山區,8.7,5714.0,6717,25.0581546,121.5457865
19,台北北門世民酒店,西門町,8.8,12968.0,2000,25.0473607,121.5104759
20,水旅宿輕旅,淡水區,10.0,2.0,1667,25.0954229,121.3575441
21,台北美侖大飯店,大安區,8.5,11453.0,2766,25.0342784,121.5439044
22,捷絲旅 - 西門町館,西門町,8.6,7946.0,2999,25.0450456,121.5095859
23,101景觀2-7人房,中正區,10.0,1.0,1321,25.0293008,121.5205833
24,洛碁大飯店建北館,中山區,8.3,4322.0,1449,25.0510991,121.5363814
25,大安區公寓套房 - 42平方公尺,大安區,9.3,4.0,3174,25.0263074,121.543846
26,白宮行館沙灘溫泉渡假村,萬里區,8.2,1161.0,5211,25.180982,121.690249
27,老爺會館台北南西 - 捷運中山站,中山區,8.5,4245.0,2203,25.0525861,121.5217131
28,文山區的1臥室公寓 - 20平方公尺,文山區,9.4,19.0,874,24.9880072,121.5752716
29,洛碁大飯店松山館,南港區,8.6,3995.0,1748,25.0452392,121.5836913
30,洛碁大飯店南港館,南港區,8.6,5410.0,1920,25.0523235,121.6115205
31,大安區公寓套房 - 42平方公尺,大安區,9.4,7.0,2625,25.0263074,121.543846
32,凱旋酒店,內湖區,8.9,4083.0,2444,25.0775343,121.5780231
33,淡水將捷金鬱金香酒店,淡水區,8.8,1714.0,3870,25.1771061,121.429607
34,松山區的1臥室公寓 - 45平方公尺,松山區,10.0,1.0,1209,25.0601727,121.5593073
35,傑仕堡有氧酒店,板橋區,9.1,1461.0,2708,25.0176689,121.4694143
