,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
0,東旅湯宿溫泉飯店-風華漾 ,礁溪鄉,8.3,4843,2515
1,東旅湯宿溫泉飯店 - 信義館 ,礁溪鄉,8.5,2850,2645
2,寶貝愛溜滑梯親子民宿 ,羅東鎮,8.7,146,3429
3,品文旅礁溪 ,礁溪鄉,8.7,1449,3036
4,山啄木青年旅館 ,宜蘭市,8.8,347,1527
5,Onsense Villa,礁溪鄉,8.4,942,3145
6,亞諾溫泉行旅 ,礁溪鄉,8.3,3771,1690
7,麗翔酒店連鎖 - 礁溪館 ,礁溪鄉,8.1,4130,3203
8,OA HOTEL,頭城鎮,8.8,13,3325
9,山口溫泉飯店 ,礁溪鄉,7.8,2371,2223
10,檜木屋民宿 ,冬山鄉,9.2,93,3414
11,捷絲旅宜蘭礁溪館 ,礁溪鄉,8.5,9489,3201
12,中天溫泉渡假飯店 ,礁溪鄉,8.5,2287,4569
13,宜蘭市的1臥室小屋 - 18平方公尺/1間專用衛浴 ,宜蘭市,9.2,151,1327
14,兆品酒店礁溪 ,礁溪鄉,8.5,1522,4112
15,東旅背包客 ,礁溪鄉,9.0,2344,738
16,松風文旅 ,五結鄉,8.5,1947,3290
17,Transfer Station Homestay,宜蘭市,8.7,150,1784
18,香檳溫泉飯店 ,礁溪鄉,7.4,2674,1840
19,伯斯飯店 ,宜蘭市,8.0,2584,2251
20,誠闊礁溪渡假飯店 ,礁溪鄉,8.8,3116,3282
21,亞奇文旅 ,羅東鎮,8.2,4472,1371
22,嗨夫精品旅館 ,羅東鎮,9.0,2059,2413
23,每日溫泉旅店 ,礁溪鄉,7.9,1556,1016
24,葛瑪蘭溫泉飯店 ,礁溪鄉,9.0,141,3074
25,樂亞香草藝術旅店 ,羅東鎮,8.3,2696,1543
26,宜蘭市的1臥室小屋 - 18平方公尺/1間專用衛浴 ,宜蘭市,9.3,129,1153
27,夏朶沙灘渡假會館 ,頭城鎮,8.8,521,5109
28,開蘭行旅 ,頭城鎮,8.1,2137,2355
29,宜泰大飯店 ,羅東鎮,8.1,3049,2113
30,宜蘭市的1臥室獨棟住宅 - 66平方公尺/1間專用衛浴 ,宜蘭市,8.4,20,1133
31,怡蘭精品旅館 ,五結鄉,7.4,990,1829
32,蘇澳大飯店 ,蘇澳鎮,7.3,1333,1085
33,菓菓和風溫泉,礁溪鄉,9.3,7,3475
34,沐恩國際溫泉渡假飯店 ,礁溪鄉,8.5,6709,3350
35,山水商務飯店 ,羅東鎮,7.9,2984,1417
36,幸福18 ,頭城鎮,9.2,50,3030
37,慢漫窩溫泉旅宿 ,礁溪鄉,8.6,2450,1476
38,玖屋文旅 ,羅東鎮,8.5,2366,2269
39,Rainbow House 三房兩廳每日只接待一組客人最多6人,羅東鎮,9.7,24,3512
40,沐恩遠東溫泉渡假飯店 ,礁溪鄉,8.5,354,3818
41,5963右轉民宿 ,礁溪鄉,9.3,834,1385
42,迷你兔民宿 ,宜蘭市,9.0,158,2783
43,美嘉美大飯店 ,礁溪鄉,7.5,1426,1317
44,宜蘭富翔大飯店 ,宜蘭市,7.7,1143,1625
45,頭城鎮的1臥室公寓 - 18平方公尺/1間專用衛浴 ,頭城鎮,9.3,10,994
46,湯匙溫泉會館 ,礁溪鄉,8.5,66,2783
47,沐村溫泉會館 ,礁溪鄉,8.7,307,2251
48,和風時尚館  ,頭城鎮,7.8,692,2909
49,頭城鎮的1臥室公寓 - 13平方公尺/1間專用衛浴 ,頭城鎮,7.7,4,974
50,晶樺商務大飯店 ,羅東鎮,7.5,2656,1302
51,26旅店 ,宜蘭市,8.9,1185,1602
52,冬山鄉的1臥室小屋 - 40平方公尺/1間專用衛浴 ,冬山鄉,8.2,9,3891
53,東遊溫泉驛棧 ,礁溪鄉,8.2,996,1385
54,黑海時光館 ,礁溪鄉,8.2,1680,1108
55,水岸森林休閒農場 ,冬山鄉,8.1,756,5648
56,壹閣 ,羅東鎮,8.9,141,2251
57,米淇旅店 - 羅東館   ,羅東鎮,8.8,283,1507
58,AT Home 寵物友善公寓 ,宜蘭市,10.0,3,2286
59,羅東夜市幸福故事商旅 ,羅東鎮,8.7,2333,999
