,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
0,東旅湯宿溫泉飯店-風華漾,礁溪鄉,8.3,4843,2515,24.8286651,121.7719488
1,東旅湯宿溫泉飯店 - 信義館,礁溪鄉,8.5,2850,2645,24.8263357,121.7705569
2,寶貝愛溜滑梯親子民宿,羅東鎮,8.7,146,3429,24.6801295,121.7768451
3,品文旅礁溪,礁溪鄉,8.7,1449,3036,24.8311392,121.7739383
4,山啄木青年旅館,宜蘭市,8.8,347,1527,24.7530382,121.7643442
5,Onsense Villa,礁溪鄉,8.4,942,3145,24.8215351,121.7753087
6,亞諾溫泉行旅,礁溪鄉,8.3,3771,1690,24.8283679,121.7713655
7,麗翔酒店連鎖 - 礁溪館,礁溪鄉,8.1,4130,3203,24.8293636,121.7770252
8,OA HOTEL,頭城鎮,8.8,13,3325,24.87153,121.8395809
9,山口溫泉飯店,礁溪鄉,7.8,2371,2223,24.8261563,121.763466
10,檜木屋民宿,冬山鄉,9.2,93,3414,24.6462643,121.7288198
11,捷絲旅宜蘭礁溪館,礁溪鄉,8.5,9489,3201,24.8287589,121.7724817
12,中天溫泉渡假飯店,礁溪鄉,8.5,2287,4569,24.829865,121.776078
13,宜蘭市的1臥室小屋 - 18平方公尺1間專用衛浴,宜蘭市,9.2,151,1327,24.8215351,121.7753087
14,兆品酒店礁溪,礁溪鄉,8.5,1522,4112,24.8282149,121.7694988
15,東旅背包客,礁溪鄉,9.0,2344,738,24.8296982,121.7763256
16,松風文旅,五結鄉,8.5,1947,3290,24.7065679,121.7691902
17,Transfer Station Homestay,宜蘭市,8.7,150,1784,24.754297,121.7584574
18,香檳溫泉飯店,礁溪鄉,7.4,2674,1840,24.8295455,121.7717867
19,伯斯飯店,宜蘭市,8.0,2584,2251,24.757754,121.758952
20,誠闊礁溪渡假飯店,礁溪鄉,8.8,3116,3282,24.830412,121.774638
21,亞奇文旅,羅東鎮,8.2,4472,1371,24.7488791,121.7586106
22,嗨夫精品旅館,羅東鎮,9.0,2059,2413,24.6780739,121.7738056
23,每日溫泉旅店,礁溪鄉,7.9,1556,1016,24.8286092,121.771498
24,葛瑪蘭溫泉飯店,礁溪鄉,9.0,141,3074,24.8286321,121.7744042
25,樂亞香草藝術旅店,羅東鎮,8.3,2696,1543,24.6795101,121.770256
26,宜蘭市的1臥室小屋 - 18平方公尺1間專用衛浴,宜蘭市,9.3,129,1153,24.8295455,121.7717867
27,夏朶沙灘渡假會館,頭城鎮,8.8,521,5109,24.8883123,121.8489776
28,開蘭行旅,頭城鎮,8.1,2137,2355,24.8609957,121.8305027
29,宜泰大飯店,羅東鎮,8.1,3049,2113,24.678406,121.769833
30,宜蘭市的1臥室獨棟住宅 - 66平方公尺1間專用衛浴,宜蘭市,8.4,20,1133,24.7488791,121.7586106
31,怡蘭精品旅館,五結鄉,7.4,990,1829,24.708345,121.770601
32,蘇澳大飯店,蘇澳鎮,7.3,1333,1085,24.59639,121.8554879
33,菓菓和風溫泉,礁溪鄉,9.3,7,3475,24.6795101,121.770256
34,沐恩國際溫泉渡假飯店,礁溪鄉,8.5,6709,3350,24.827155,121.7702348
35,山水商務飯店,羅東鎮,7.9,2984,1417,24.6761774,121.7720591
36,幸福18,頭城鎮,9.2,50,3030,24.8609957,121.8305027
37,慢漫窩溫泉旅宿,礁溪鄉,8.6,2450,1476,24.82628,121.763163
38,玖屋文旅,羅東鎮,8.5,2366,2269,24.6797799,121.7574759
39,Rainbow House 三房兩廳每日只接待一組客人最多6人,羅東鎮,9.7,24,3512,24.6822092,121.7739431
